Pos,Team,ForzaSquadra,ForzaMediaGiocatore,ForzaTitolari,ModuloMigliore,Giocatori,Top,SemiTop,Starter,Scommessa,Low,MissingTier
35,DonBosko46,1223.60,53.20,814.40,3-4-3,23,4,3,3,4,9,0
36,Nastro Azzurro,1221.94,53.13,812.01,3-5-2,23,6,1,3,3,10,0
37,Peaky Tunas,1219.96,53.04,844.36,3-4-3,23,5,0,5,3,10,0
38,mezzebirre,1217.96,52.95,811.48,4-4-2,23,4,3,4,4,8,0
39,DEEDPULLY,1215.46,52.85,817.86,3-4-3,23,5,2,3,5,8,0
40,real donk,1214.66,52.81,788.86,3-4-3,23,2,4,7,0,10,0
41,PEAKY BLINDERS,1213.66,52.77,813.76,3-4-3,23,4,2,2,5,10,0
42,FC Galli,1212.26,52.71,812.06,3-4-3,23,6,0,4,3,10,0
43,Leonte FC,1212.08,52.70,832.18,4-3-3,23,4,3,3,2,11,0
44,Scarzooka,1211.63,52.68,794.50,3-4-3,23,5,0,6,4,8,0
45,MARCIO TEAM,1210.44,52.63,841.84,3-4-3,23,6,2,2,3,10,1
46,LE 4 M,1208.26,52.53,847.56,3-5-2,23,5,2,5,2,9,0
47,ProPro Proibito,1207.38,52.49,774.18,3-4-3,23,2,2,5,6,8,0
48,FC Buttarighe,1207.19,52.49,811.36,3-5-2,23,5,3,2,6,7,1
49,FC Spiaze,1205.36,52.41,823.66,3-4-3,23,5,2,2,6,8,0
50,Collocolo Team,1203.65,52.33,827.75,3-4-3,23,4,1,6,4,8,0
51,SILVEDO,1200.23,52.18,810.73,4-3-3,23,5,2,0,5,11,0
52,OnlyFans,1199.86,52.17,852.56,3-4-3,23,5,3,3,4,8,0
53,Sisal Palace,1199.18,52.14,777.98,3-4-3,23,5,1,3,4,10,0
54,BinuSpuntu,1199.08,52.13,800.78,3-5-2,23,3,4,3,4,9,0
55,Temptation Haaland,1195.11,51.96,835.91,3-4-3,23,7,1,0,3,12,0
56,Real Mellandro,1193.79,51.90,828.76,3-4-3,23,7,1,1,4,10,0
57,kalashnikov,1193.10,51.87,799.50,3-4-3,23,2,4,3,5,9,0
58,i bro,1191.26,51.79,774.86,3-4-3,23,5,1,2,6,9,0
59,LosPollosHermanos,1189.43,51.71,779.53,3-5-2,23,5,3,2,3,10,1
60,puerto rosso blu,1188.84,51.69,803.34,3-4-3,23,2,4,5,2,10,0
61,Non troppo cattivi,1186.37,51.58,835.57,4-4-2,23,7,1,1,2,12,0
62,Giubbentus,1184.80,51.51,754.00,3-4-3,23,3,2,4,3,11,0
63,Hellas merdona,1182.29,51.40,783.96,4-3-3,23,5,0,2,7,9,0
64,BARAKALLAHOUFIK,1181.36,51.36,806.83,4-3-3,23,5,2,4,2,10,1
65,Piovra73,1176.13,51.14,806.03,3-4-3,23,5,1,3,4,10,0
66,Imperatori del culo,1175.86,51.12,791.26,4-3-3,23,5,0,4,5,9,0
67,BANDITI,1174.68,51.07,846.58,3-4-3,23,5,2,1,4,11,0
68,Lunarossa,1172.33,50.97,865.03,3-4-3,23,6,1,2,3,11,1
69,CLAN,1171.00,50.91,764.87,3-5-2,23,4,2,4,1,12,0
70,FC Plasmon,1169.14,50.83,802.64,4-3-3,23,5,0,4,5,9,0
71,Due Amici al Var,1167.86,50.78,781.06,3-4-3,23,4,2,3,4,10,0
72,Longobarda,1153.38,50.15,764.38,4-3-3,23,3,2,2,5,11,0
73,SPERA EBBASTA,1135.36,49.36,812.56,3-4-3,23,4,1,3,4,11,0
74,Lions,1130.86,49.17,778.36,3-4-3,23,4,1,3,5,10,0
75,I Cigni,1124.40,48.89,719.00,4-3-3,23,4,0,1,8,10,0
76,Sciabolata Classica,1120.36,48.71,798.46,3-4-3,23,5,1,3,2,12,0
77,HeineKean,1119.88,48.69,743.68,3-4-3,23,3,1,3,5,11,0
78,ROCKY 3,1119.38,48.67,812.18,4-3-3,23,4,2,3,3,11,0
79,buttiglia25,1102.56,47.94,797.76,4-3-3,23,5,1,2,3,12,0
80,Fc nipiri,1080.33,46.97,773.43,5-3-2,23,3,1,6,3,10,1
81,lagg,1075.10,46.74,755.40,3-5-2,23,2,1,7,3,10,0
82,CuginiDiCampagna,1072.11,46.61,782.11,4-3-3,23,4,1,3,4,11,1
83,Evergreen,1071.85,46.60,731.35,5-4-1,23,2,1,3,7,10,0
84,Kung-Fu Pandev,1054.08,45.83,748.58,3-4-3,23,2,1,5,5,10,1
