Team,Giocatore,Ruolo,Squadra,Tier,Weight,ScoreAuto,PrezzoAttuale,ForzaGiocatore,Source
F.C Pennic Hellas,Ndaba,D,Lecce,low,0.251,0.251,3.0,25.10,tier
F.C Pennic Hellas,Sherri,P,Cagliari,low,0.125,0.125,1.0,12.50,tier
F.C Pennic Hellas,Venturino,C,Roma,low,0.065,0.065,1.0,6.50,tier
Tana delle Tigri,Pulisic,C,Milan,top,0.970,0.947,31.0,95.28,tier
Tana delle Tigri,Martinez L.,A,Inter,top,0.951,0.951,34.0,95.10,tier
Tana delle Tigri,Dimarco,D,Inter,top,0.980,0.914,29.0,93.05,tier
Tana delle Tigri,Berardi,A,Sassuolo,top,0.903,0.903,21.0,90.30,tier
Tana delle Tigri,Paz N.,C,Como,top,0.970,0.875,30.0,89.88,tier
Tana delle Tigri,Leao,A,Milan,top,0.892,0.892,30.0,89.20,tier
Tana delle Tigri,McTominay,C,Napoli,semitop,0.808,0.808,25.0,80.80,tier
Tana delle Tigri,Atta,C,Udinese,semitop,0.747,0.747,16.0,74.70,tier
Tana delle Tigri,Carnesecchi,P,Atalanta,top,0.920,0.661,17.0,72.58,tier
Tana delle Tigri,Martin,D,Genoa,starter,0.651,0.651,14.0,65.10,tier
Tana delle Tigri,Solet,D,Udinese,starter,0.580,0.580,11.0,58.00,tier
Tana delle Tigri,David,A,Juventus,scommessa,0.566,0.566,13.0,56.60,tier
Tana delle Tigri,Angori,D,Pisa,scommessa,0.526,0.526,9.0,52.60,tier
Tana delle Tigri,Barbieri,D,Cremonese,scommessa,0.522,0.522,9.0,52.20,tier
Tana delle Tigri,Tiago Gabriel,D,Lecce,scommessa,0.522,0.522,9.0,52.20,tier
Tana delle Tigri,Bellanova,D,Atalanta,low,0.441,0.441,6.0,44.10,tier
Tana delle Tigri,Zerbin,C,Cremonese,low,0.394,0.394,6.0,39.40,tier
Tana delle Tigri,Perin,P,Juventus,low,0.283,0.283,3.0,28.30,tier
Tana delle Tigri,Maldini,C,Atalanta,low,0.231,0.231,3.0,23.10,tier
Tana delle Tigri,Ilkhan,C,Torino,low,0.200,0.200,2.0,20.00,tier
Tana delle Tigri,Diouf,C,Inter,low,0.167,0.167,2.0,16.70,tier
Tana delle Tigri,Pavoletti,A,Cagliari,low,0.137,0.137,1.0,13.70,tier
Tana delle Tigri,Sportiello,P,Atalanta,low,0.125,0.125,1.0,12.50,tier
Fc Cortomuso,Pulisic,C,Milan,top,0.970,0.947,31.0,95.28,tier
Fc Cortomuso,Martinez L.,A,Inter,top,0.951,0.951,34.0,95.10,tier
Fc Cortomuso,Paz N.,C,Como,top,0.970,0.875,30.0,89.88,tier
Fc Cortomuso,Leao,A,Milan,top,0.892,0.892,30.0,89.20,tier
Fc Cortomuso,Orsolini,C,Bologna,top,0.950,0.820,24.0,85.25,tier
Fc Cortomuso,McTominay,C,Napoli,semitop,0.808,0.808,25.0,80.80,tier
Fc Cortomuso,Palestra,D,Cagliari,semitop,0.736,0.736,15.0,73.60,tier
Fc Cortomuso,Pavlovic,D,Milan,semitop,0.820,0.684,15.0,71.80,tier
Fc Cortomuso,Malinovskyi,C,Genoa,starter,0.680,0.680,12.0,68.00,tier
Fc Cortomuso,Milinkovic-Savic V.,P,Napoli,starter,0.653,0.653,19.0,65.30,tier
Fc Cortomuso,Martin,D,Genoa,starter,0.651,0.651,14.0,65.10,tier
Fc Cortomuso,Kean,A,Fiorentina,starter,0.649,0.649,18.0,64.90,tier
Fc Cortomuso,Malen,A,Roma,top,0.940,0.443,15.0,56.73,tier
Fc Cortomuso,Tiago Gabriel,D,Lecce,scommessa,0.522,0.522,9.0,52.20,tier
Fc Cortomuso,Dodò,D,Fiorentina,scommessa,0.468,0.468,6.0,46.80,tier
Fc Cortomuso,Bellanova,D,Atalanta,low,0.441,0.441,6.0,44.10,tier
Fc Cortomuso,Ahanor,D,Atalanta,low,0.431,0.431,5.0,43.10,tier
Fc Cortomuso,Meret,P,Napoli,low,0.377,0.377,8.0,37.70,tier
Fc Cortomuso,Sava,P,Udinese,low,0.304,0.304,1.0,30.40,tier
Fc Cortomuso,Maldini,C,Atalanta,low,0.231,0.231,3.0,23.10,tier
Fc Cortomuso,Ilkhan,C,Torino,low,0.200,0.200,2.0,20.00,tier
Fc Cortomuso,Kulenovic,A,Tor,low,0.091,0.091,5.0,9.10,tier
Fc Cortomuso,Venturino,C,Roma,low,0.065,0.065,1.0,6.50,tier
XLiverpuh,Pulisic,C,Milan,top,0.970,0.947,31.0,95.28,tier
XLiverpuh,Martinez L.,A,Inter,top,0.951,0.951,34.0,95.10,tier
XLiverpuh,Yildiz,A,Juventus,top,0.919,0.919,30.0,91.90,tier
XLiverpuh,Paz N.,C,Como,top,0.970,0.875,30.0,89.88,tier
XLiverpuh,Zielinski,C,Inter,top,0.838,0.838,19.0,83.80,tier
XLiverpuh,Hojlund,A,Napoli,top,0.940,0.788,25.0,82.60,tier
XLiverpuh,Zaniolo,C,Udinese,semitop,0.780,0.780,20.0,78.00,tier
XLiverpuh,Kempf,D,Como,semitop,0.754,0.754,14.0,75.40,tier
XLiverpuh,Atta,C,Udinese,semitop,0.747,0.747,16.0,74.70,tier
XLiverpuh,Palestra,D,Cagliari,semitop,0.736,0.736,15.0,73.60,tier
XLiverpuh,Svilar,P,Roma,top,0.930,0.655,19.0,72.38,tier
XLiverpuh,Kilicsoy,A,Cagliari,starter,0.704,0.704,12.0,70.40,tier
XLiverpuh,Terracciano F.,D,Cremonese,scommessa,0.580,0.580,11.0,58.00,tier
XLiverpuh,Valle,D,Como,scommessa,0.536,0.536,8.0,53.60,tier
XLiverpuh,Prati,C,Cagliari,low,0.388,0.388,6.0,38.80,tier
XLiverpuh,Pezzella Giu.,D,Cremonese,low,0.357,0.357,4.0,35.70,tier
XLiverpuh,Dia,A,Lazio,low,0.321,0.321,5.0,32.10,tier
XLiverpuh,Gutierrez,D,Napoli,low,0.314,0.314,3.0,31.40,tier
XLiverpuh,Lykogiannis,D,Bologna,low,0.231,0.231,2.0,23.10,tier
XLiverpuh,Zarraga,C,Udinese,low,0.169,0.169,2.0,16.90,tier
XLiverpuh,Vasquez D.,P,Roma,low,0.125,0.125,1.0,12.50,tier
XLiverpuh,Zelezny,P,Roma,low,0.125,0.125,1.0,12.50,tier
XLiverpuh,Marchwinski,C,Lecce,low,0.061,0.061,1.0,6.10,tier
ISGOPPAISI2,Calhanoglu,C,Inter,top,0.960,0.939,28.0,94.42,tier
ISGOPPAISI2,Paz N.,C,Como,top,0.970,0.875,30.0,89.88,tier
ISGOPPAISI2,Scamacca,A,Atalanta,semitop,0.840,0.847,22.0,84.52,tier
ISGOPPAISI2,McTominay,C,Napoli,semitop,0.808,0.808,25.0,80.80,tier
ISGOPPAISI2,Soulè,A,Roma,semitop,0.808,0.808,26.0,80.80,tier
ISGOPPAISI2,Bonny,A,Inter,semitop,0.799,0.799,14.0,79.90,tier
ISGOPPAISI2,Svilar,P,Roma,top,0.930,0.655,19.0,72.38,tier
ISGOPPAISI2,Gudmundsson A.,C,Fiorentina,starter,0.714,0.714,17.0,71.40,tier
ISGOPPAISI2,Milinkovic-Savic V.,P,Napoli,starter,0.653,0.653,19.0,65.30,tier
ISGOPPAISI2,Kean,A,Fiorentina,starter,0.649,0.649,18.0,64.90,tier
ISGOPPAISI2,Kalulu,D,Juventus,starter,0.639,0.639,12.0,63.90,tier
ISGOPPAISI2,Rrahmani,D,Napoli,starter,0.632,0.632,13.0,63.20,tier
ISGOPPAISI2,Vojvoda,D,Como,starter,0.611,0.611,12.0,61.10,tier
ISGOPPAISI2,David,A,Juventus,scommessa,0.566,0.566,13.0,56.60,tier
ISGOPPAISI2,Tiago Gabriel,D,Lecce,scommessa,0.522,0.522,9.0,52.20,tier
ISGOPPAISI2,Dodò,D,Fiorentina,scommessa,0.468,0.468,6.0,46.80,tier
ISGOPPAISI2,Lucumì,D,Bologna,low,0.450,0.450,7.0,45.00,tier
ISGOPPAISI2,Adopo,C,Cagliari,low,0.414,0.414,6.0,41.40,tier
ISGOPPAISI2,Maldini,C,Atalanta,low,0.231,0.231,3.0,23.10,tier
ISGOPPAISI2,Joao Mario,D,Juventus,low,0.211,0.211,2.0,21.10,tier
ISGOPPAISI2,Akpa Akpro,C,Verona,low,0.207,0.207,2.0,20.70,tier
ISGOPPAISI2,Vasquez D.,P,Roma,low,0.125,0.125,1.0,12.50,tier
ISGOPPAISI2,Boloca,C,Sassuolo,low,0.081,0.081,2.0,8.10,tier
KARABE 1975,Baturina,C,Como,top,0.950,0.847,14.0,87.27,tier
KARABE 1975,Scamacca,A,Atalanta,semitop,0.840,0.847,22.0,84.52,tier
KARABE 1975,Zielinski,C,Inter,top,0.838,0.838,19.0,83.80,tier
KARABE 1975,Hojlund,A,Napoli,top,0.940,0.788,25.0,82.60,tier
KARABE 1975,Pavlovic,D,Milan,semitop,0.820,0.684,15.0,71.80,tier
KARABE 1975,Gudmundsson A.,C,Fiorentina,starter,0.714,0.714,17.0,71.40,tier
KARABE 1975,Esposito Se.,A,Cagliari,starter,0.659,0.659,16.0,65.90,tier
KARABE 1975,Kean,A,Fiorentina,starter,0.649,0.649,18.0,64.90,tier
KARABE 1975,Colombo,A,Genoa,scommessa,0.570,0.570,14.0,57.00,tier
KARABE 1975,Thorstvedt,C,Sassuolo,scommessa,0.558,0.558,12.0,55.80,tier
KARABE 1975,Valeri,D,Parma,scommessa,0.550,0.550,10.0,55.00,tier
KARABE 1975,Idrissi R.,D,Cagliari,scommessa,0.546,0.546,8.0,54.60,tier
KARABE 1975,Tiago Gabriel,D,Lecce,scommessa,0.522,0.522,9.0,52.20,tier
KARABE 1975,Ravaglia F.,P,Bologna,scommessa,0.509,0.509,12.0,50.90,tier
KARABE 1975,Zappacosta,D,Atalanta,scommessa,0.500,0.500,8.0,50.00,tier
KARABE 1975,Ederson D.S.,C,Atalanta,scommessa,0.476,0.476,10.0,47.60,tier
KARABE 1975,Skorupski,P,Bologna,scommessa,0.476,0.476,10.0,47.60,tier
KARABE 1975,Karlstrom,C,Udinese,scommessa,0.475,0.475,10.0,47.50,tier
KARABE 1975,Marusic,D,Lazio,scommessa,0.464,0.464,7.0,46.40,tier
KARABE 1975,Ndour,C,Fiorentina,low,0.400,0.400,6.0,40.00,tier
KARABE 1975,Canestrelli,D,Pisa,low,0.385,0.385,5.0,38.50,tier
KARABE 1975,Gineitis,C,Torino,low,0.311,0.311,4.0,31.10,tier
KARABE 1975,Pessina Mas.,P,Bologna,low,0.129,0.129,1.0,12.90,tier
Plu-Team,Pulisic,C,Milan,top,0.970,0.947,31.0,95.28,tier
Plu-Team,Martinez L.,A,Inter,top,0.951,0.951,34.0,95.10,tier
Plu-Team,Paz N.,C,Como,top,0.970,0.875,30.0,89.88,tier
Plu-Team,Orsolini,C,Bologna,top,0.950,0.820,24.0,85.25,tier
Plu-Team,Bonny,A,Inter,semitop,0.799,0.799,14.0,79.90,tier
Plu-Team,Saelemaekers,C,Milan,semitop,0.840,0.699,19.0,73.42,tier
Plu-Team,Esposito F.P.,A,Inter,semitop,0.725,0.725,18.0,72.50,tier
Plu-Team,Wesley,D,Roma,starter,0.677,0.677,16.0,67.70,tier
Plu-Team,Bartesaghi,D,Milan,starter,0.651,0.651,13.0,65.10,tier
Plu-Team,Martin,D,Genoa,starter,0.651,0.651,14.0,65.10,tier
Plu-Team,Da Cunha,C,Como,starter,0.611,0.611,11.0,61.10,tier
Plu-Team,Di Gregorio,P,Juventus,starter,0.605,0.605,16.0,60.50,tier
Plu-Team,Gosens,D,Fiorentina,starter,0.583,0.583,10.0,58.30,tier
Plu-Team,Bernasconi,D,Atalanta,scommessa,0.522,0.522,7.0,52.20,tier
Plu-Team,Bellanova,D,Atalanta,low,0.441,0.441,6.0,44.10,tier
Plu-Team,Frese,D,Verona,low,0.430,0.430,6.0,43.00,tier
Plu-Team,Zerbin,C,Cremonese,low,0.394,0.394,6.0,39.40,tier
Plu-Team,Niasse,C,Verona,low,0.353,0.353,4.0,35.30,tier
Plu-Team,Adzic,C,Juventus,low,0.307,0.307,3.0,30.70,tier
Plu-Team,Scuffet,P,Pisa,low,0.305,0.305,4.0,30.50,tier
Plu-Team,Perin,P,Juventus,low,0.283,0.283,3.0,28.30,tier
Plu-Team,Moro L.,A,Sassuolo,low,0.179,0.179,1.0,17.90,tier
Plu-Team,Elphege,A,Par,low,0.067,0.067,1.0,6.70,tier
SerSi-FC,Pulisic,C,Milan,top,0.970,0.947,31.0,95.28,tier
SerSi-FC,Paz N.,C,Como,top,0.970,0.875,30.0,89.88,tier
SerSi-FC,Scamacca,A,Atalanta,semitop,0.840,0.847,22.0,84.52,tier
SerSi-FC,Rabiot,C,Milan,semitop,0.850,0.830,23.0,83.50,tier
SerSi-FC,Douvikas,A,Como,top,0.830,0.830,21.0,83.00,tier
SerSi-FC,Hojlund,A,Napoli,top,0.940,0.788,25.0,82.60,tier
SerSi-FC,McTominay,C,Napoli,semitop,0.808,0.808,25.0,80.80,tier
SerSi-FC,Atta,C,Udinese,semitop,0.747,0.747,16.0,74.70,tier
SerSi-FC,Palestra,D,Cagliari,semitop,0.736,0.736,15.0,73.60,tier
SerSi-FC,Ostigard,D,Genoa,starter,0.704,0.704,15.0,70.40,tier
SerSi-FC,Malinovskyi,C,Genoa,starter,0.680,0.680,12.0,68.00,tier
SerSi-FC,Martin,D,Genoa,starter,0.651,0.651,14.0,65.10,tier
SerSi-FC,Sommer,P,Inter,scommessa,0.572,0.572,14.0,57.20,tier
SerSi-FC,Cambiaso,D,Juventus,scommessa,0.557,0.557,10.0,55.70,tier
SerSi-FC,Valle,D,Como,scommessa,0.536,0.536,8.0,53.60,tier
SerSi-FC,Tomori,D,Milan,scommessa,0.500,0.500,7.0,50.00,tier
SerSi-FC,Adopo,C,Cagliari,low,0.414,0.414,6.0,41.40,tier
SerSi-FC,Maldini,C,Atalanta,low,0.231,0.231,3.0,23.10,tier
SerSi-FC,Gueye,A,Udinese,low,0.179,0.179,2.0,17.90,tier
SerSi-FC,Martinez Jo.,P,Inter,low,0.145,0.145,1.0,14.50,tier
SerSi-FC,Di Gennaro,P,Inter,low,0.125,0.125,1.0,12.50,tier
SerSi-FC,Stojilkovic,A,Pis,low,0.090,0.090,4.0,9.00,tier
SerSi-FC,Esteves T. *,D,Pisa,low,0.000,0.000,1.0,1.50,fallback_price
Sarzanello Team,Martinez L.,A,Inter,top,0.951,0.951,34.0,95.10,tier
Sarzanello Team,Yildiz,A,Juventus,top,0.919,0.919,30.0,91.90,tier
Sarzanello Team,Paz N.,C,Como,top,0.970,0.875,30.0,89.88,tier
Sarzanello Team,Atta,C,Udinese,semitop,0.747,0.747,16.0,74.70,tier
Sarzanello Team,Maignan,P,Milan,top,0.950,0.670,20.0,74.00,tier
Sarzanello Team,Esposito F.P.,A,Inter,semitop,0.725,0.725,18.0,72.50,tier
Sarzanello Team,Wesley,D,Roma,starter,0.677,0.677,16.0,67.70,tier
Sarzanello Team,Scalvini,D,Atalanta,starter,0.676,0.676,12.0,67.60,tier
Sarzanello Team,Esposito Se.,A,Cagliari,starter,0.659,0.659,16.0,65.90,tier
Sarzanello Team,Martin,D,Genoa,starter,0.651,0.651,14.0,65.10,tier
Sarzanello Team,Ekkelenkamp,C,Udinese,starter,0.588,0.588,12.0,58.80,tier
Sarzanello Team,Pasalic,C,Atalanta,starter,0.583,0.583,13.0,58.30,tier
Sarzanello Team,Miranda J.,D,Bologna,scommessa,0.557,0.557,11.0,55.70,tier
Sarzanello Team,Sucic P.,C,Inter,scommessa,0.527,0.527,11.0,52.70,tier
Sarzanello Team,Angori,D,Pisa,scommessa,0.526,0.526,9.0,52.60,tier
Sarzanello Team,Barbieri,D,Cremonese,scommessa,0.522,0.522,9.0,52.20,tier
Sarzanello Team,Casadei,C,Torino,low,0.422,0.422,7.0,42.20,tier
