Id,Ruolo,RuoloMantra,Giocatore,Squadra,PrezzoAttuale,PrezzoIniziale,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
6505,P,Por,Nava,Cremonese,1,1,0,1,1,0,1,1
6403,P,Por,Christensen O.,Fiorentina,1,1,0,1,1,0,1,1
6991,P,Por,Siegrist,Genoa,1,1,0,1,1,0,1,1
219,P,Por,Sommariva,Genoa,1,1,0,1,1,0,1,1
1926,P,Por,Di Gennaro,Inter,1,1,0,1,1,0,1,1
5116,P,Por,Martinez Jo.,Inter,1,2,-1,1,2,-1,1,1
1930,P,Por,Pinsoglio,Juventus,1,1,0,1,1,0,1,1
6417,P,Por,Furlanetto,Lazio,1,1,0,1,1,0,1,1
2401,P,Por,Fruchtl,Lecce,1,1,0,1,1,0,1,1
6523,P,Por,Samooja,Lecce,1,1,0,1,1,0,1,1
2815,P,Por,Terracciano,Milan,1,1,0,1,1,0,1,1
6813,P,Por,Torriani,Milan,1,1,0,1,1,0,1,1
2845,P,Por,Contini,Napoli,1,1,0,1,1,0,1,1
2271,P,Por,Nicolas,Pisa,1,1,0,1,1,0,1,1
7169,P,Por,Zelezny,Roma,1,1,0,1,1,0,1,1
610,P,Por,Gollini,Roma,1,1,0,1,1,0,1,1
2127,P,Por,Satalino,Sassuolo,1,1,0,1,1,0,1,1
4867,P,Por,Turati,Sassuolo,1,7,-6,1,7,-6,1,1
6842,P,Por,Sava,Udinese,1,4,-3,1,4,-3,1,1
6125,P,Por,Vasquez D.,Roma,1,1,0,1,1,0,1,1
7185,P,Por,Nunziante,Udinese,1,1,0,1,1,0,1,1
158,P,Por,Lezzerini,Fiorentina,1,1,0,1,1,0,1,1
2211,P,Por,Silvestri,Cremonese,1,1,0,1,1,0,1,1
7236,P,Por,Toniolo,Verona,1,1,0,1,1,0,1,1
7261,P,Por,Cavlina,Como,1,1,0,1,1,0,1,1
7285,P,Por,Ferrante,Napoli,1,1,0,1,1,0,1,1
7042,P,Por,Calligaris,Inter,1,1,0,1,1,0,1,1
7301,P,Por,Tornqvist,Como,1,1,0,1,1,0,1,1
6650,P,Por,Sherri,Cagliari,1,1,0,1,1,0,1,1
7337,P,Por,Motta,Lazio,1,1,0,1,1,0,1,1
254,D,E,Dimarco,Inter,31,19,12,31,18,13,165,165
1852,D,Ds;E,Spinazzola,Napoli,20,7,13,20,7,13,50,50
6832,D,E,Palestra,Cagliari,17,3,14,17,2,15,70,70
2120,D,Dc,Bastoni,Inter,17,16,1,17,16,1,57,57
6893,D,Dc,Kempf,Como,16,5,11,16,5,11,20,20
7181,D,E,Wesley,Roma,16,14,2,16,13,3,49,49
5022,D,Dc,Pavlovic,Milan,15,7,8,15,7,8,32,32
5750,D,Dc,Ostigard,Genoa,15,5,10,15,5,10,26,26
2593,D,Ds;E,Martin,Genoa,14,10,4,14,10,4,31,31
2788,D,Dc,Bremer,Juventus,14,13,1,14,13,1,59,58
4657,D,B;Dd;E,Celik,Roma,14,7,7,14,8,6,14,17
5526,D,Dc,Scalvini,Atalanta,13,8,5,13,8,5,17,17
5678,D,Dd;E,Holm,Bologna,13,8,5,13,8,5,20,20
5877,D,B;Ds;E,Carlos Augusto,Inter,13,10,3,14,11,3,18,21
5835,D,Dc,Baschirotto,Cremonese,13,8,5,13,8,5,23,23
6496,D,Ds;E,Bartesaghi,Milan,13,3,10,13,3,10,27,27
4994,D,Dd;E,Vojvoda,Como,12,6,6,12,6,6,11,11
6217,D,Dc,Bisseck,Inter,12,9,3,12,9,3,30,30
4976,D,Dd;Dc,Kalulu,Juventus,12,9,3,12,10,2,45,47
4409,D,Dc,Rrahmani,Napoli,12,11,1,12,11,1,34,34
2816,D,Dd;E,Di Lorenzo,Napoli,12,14,-2,12,14,-2,46,46
4263,D,Dc,Kabasele,Udinese,12,3,9,12,3,9,13,13
6869,D,Dc,Ramon,Como,12,4,8,12,4,8,27,27
6766,D,Ds;Dc,Kelly L.,Juventus,11,7,4,11,8,3,19,21
5812,D,Dd;Ds;E,Terracciano F.,Cremonese,11,2,9,11,2,9,14,17
5527,D,Dd;E,Zanoli,Udinese,11,3,8,11,3,8,25,25
2296,D,Dc,Mancini,Roma,11,11,0,11,11,0,37,37
6642,D,Dc,Coco,Torino,11,8,3,11,8,3,13,13
4665,D,Dc,Maripan,Torino,11,7,4,11,7,4,20,20
6956,D,Dc,Solet,Udinese,11,11,0,11,11,0,35,35
4159,D,Dc,Akanji,Inter,11,9,2,11,9,2,52,52
4734,D,Ds;E,Miranda J.,Bologna,10,9,1,10,9,1,15,15
5435,D,Ds;E,Moreno Alb.,Como,10,3,7,10,3,7,8,8
2160,D,E,Gosens,Fiorentina,10,18,-8,10,17,-7,24,21
5514,D,Ds;Dc,Vasquez,Genoa,10,9,1,10,10,0,24,26
5513,D,E,Dumfries,Inter,10,20,-10,9,19,-10,25,25
6039,D,B;Ds;E,Cabal,Juventus,10,5,5,10,5,5,10,12
5520,D,E,Cambiaso,Juventus,10,15,-5,10,14,-4,22,19
2724,D,Dc,Buongiorno,Napoli,10,13,-3,10,13,-3,17,17
5862,D,Ds;E,Valeri,Parma,10,10,0,10,10,0,22,22
4807,D,Dc,Hermoso,Roma,10,3,7,10,3,7,14,14
7220,D,Dd;E,Belghali,Verona,10,4,6,10,4,6,21,21
393,D,Dc,Luperto,Cagliari,9,7,2,9,7,2,14,14
6867,D,Ds;E,Valle,Como,9,6,3,9,6,3,11,11
6013,D,Dd;Ds;E,Barbieri,Cremonese,9,3,6,9,4,5,11,13
460,D,Dc,Romagnoli,Lazio,9,8,1,9,8,1,23,23
6989,D,Dc,Tiago Gabriel,Lecce,9,1,8,9,1,8,20,20
6663,D,Dc,Circati,Parma,9,5,4,9,5,4,15,15
6664,D,B;Dd;E,Delprato,Parma,9,8,1,8,9,-1,21,24
7143,D,Ds;E,Angori,Pisa,9,5,4,9,5,4,13,13
6046,D,Dc,Hien,Atalanta,8,11,-3,8,11,-3,21,21
5578,D,Dd;Dc,Kossounou,Atalanta,8,9,-1,8,9,-1,10,12
554,D,E,Zappacosta,Atalanta,8,13,-5,8,12,-4,20,20
4210,D,Dc,Mina,Cagliari,8,7,1,8,7,1,14,14
7125,D,Ds;E,Idrissi R.,Cagliari,8,3,5,8,3,5,10,10
4433,D,E,Zortea,Bologna,8,16,-8,7,15,-8,11,10
6814,D,Dd;E,Norton-Cuffy,Genoa,8,3,5,8,3,5,17,17
5833,D,Dc,Gila,Lazio,8,9,-1,8,9,-1,22,22
4502,D,Ds;E,Gallo,Lecce,8,5,3,8,5,3,13,13
4401,D,Dc,Gabbia,Milan,8,6,2,8,6,2,22,22
4751,D,Dc,Tomori,Milan,8,8,0,8,8,0,30,30
7155,D,Dc,Muharemovic,Sassuolo,8,5,3,8,5,3,19,19
697,D,E,Cuadrado,Pisa,8,7,1,8,6,2,8,8
6672,D,Dc,Idzes,Sassuolo,8,7,1,8,7,1,13,13
7212,D,Ds;Dc,Heggem,Bologna,8,4,4,8,5,3,19,21
7219,D,E,Bernasconi,Atalanta,8,1,7,8,1,7,19,19
4461,D,B;Dd;E,Zappa,Cagliari,7,6,1,7,7,0,12,15
7130,D,Dc,Folino,Cremonese,7,4,3,7,4,3,5,5
6495,D,Dc,Comuzzo,Fiorentina,7,7,0,7,7,0,16,16
5885,D,E,Dodò,Fiorentina,7,11,-4,8,10,-2,32,32
5449,D,E,Parisi,Fiorentina,7,5,2,7,4,3,18,18
6660,D,Dc,Marcandalli,Genoa,7,3,4,7,3,4,12,12
2188,D,Dd;Ds;E,Marusic,Lazio,7,8,-1,7,9,-2,14,17
6202,D,Dc,Beukema,Napoli,7,10,-3,7,10,-3,13,13
4317,D,Dc,N'Dicka,Roma,7,10,-3,7,10,-3,28,28
4772,D,E,Angelino,Roma,7,15,-8,7,14,-7,10,10
7255,D,Dd;Ds;E,Britschgi,Parma,7,1,6,7,1,6,12,15
4137,D,Dc,Diego Carlos,Como,7,5,2,7,5,2,21,21
787,D,Dc,Djimsiti,Atalanta,6,8,-2,6,8,-2,15,15
6916,D,B;Ds;E,Ahanor,Atalanta,6,6,0,6,7,-1,12,14
4887,D,E,Bellanova,Atalanta,6,13,-7,6,12,-6,16,16
6042,D,Dc,Lucumì,Bologna,6,8,-2,6,8,-2,12,12
612,D,Dc,Bianchetti,Cremonese,6,3,3,6,3,3,12,12
4378,D,Ds;Dc,Ranieri L.,Fiorentina,6,7,-1,6,7,-1,10,12
7069,D,E,Fortini,Fiorentina,6,3,3,6,3,3,9,9
5739,D,Dd;Dc,De Winter,Milan,6,8,-2,6,9,-3,11,13
513,D,Dc,Acerbi,Inter,6,9,-3,6,9,-3,10,10
5620,D,Ds;E,Tavares N.,Lazio,6,12,-6,6,12,-6,7,7
5307,D,Dc,Valenti,Parma,6,4,2,6,4,2,14,14
2273,D,Dc,Caracciolo A.,Pisa,6,4,2,6,4,2,12,12
4374,D,Dd;Dc,Walukiewicz,Sassuolo,6,5,1,6,6,0,13,15
5851,D,Ds;E,Doig,Sassuolo,6,6,0,6,6,0,14,14
5010,D,Dc,Ismajli,Torino,6,8,-2,6,8,-2,10,10
4385,D,Dd;E,Lazaro,Torino,6,7,-1,6,7,-1,12,12
5820,D,Dc,Bertola,Udinese,6,6,0,6,6,0,12,12
6485,D,Dd;Dc,Kristensen T.,Udinese,6,5,1,6,5,1,12,14
6639,D,Ds;E,Frese,Verona,6,3,3,6,3,3,12,12
7329,D,Ds;E,Obrador,Torino,6,6,0,6,6,0,15,15
5701,D,Ds;Dc,Obert,Cagliari,5,4,1,5,4,1,11,14
5831,D,Dc,Gatti,Juventus,5,8,-3,5,8,-3,8,8
2728,D,Ds;E,Pellegrini Lu.,Lazio,5,3,2,5,3,2,11,11
6990,D,Dd;E,Veiga D.,Lecce,5,1,4,5,1,4,13,13
7139,D,Dc,Canestrelli,Pisa,5,3,2,5,3,2,12,12
2745,D,B;Dd;E,Calabresi,Pisa,5,3,2,5,4,1,7,9
6986,D,B;Dd;E,Rensch,Roma,5,5,0,6,6,0,10,12
5555,D,Ds;E,Kamara H.,Udinese,5,7,-2,5,7,-2,15,15
5532,D,Ds;E,Bradaric,Verona,5,4,1,5,4,1,11,11
2640,D,B;Ds;E,Kolasinac,Atalanta,4,7,-3,4,7,-3,17,20
7068,D,Dc,Vitik,Bologna,4,8,-4,4,8,-4,13,13
7014,D,Dd;Dc,Smolcic I.,Como,4,2,2,4,2,2,12,12
7131,D,Dd;E,Floriani Mussolini,Cremonese,4,5,-1,4,5,-1,10,10
770,D,Ds;E,Pezzella Giu.,Cremonese,4,5,-1,4,5,-1,11,11
5603,D,Dc,Pongracic,Fiorentina,4,5,-1,4,5,-1,12,12
322,D,Dc,De Vrij,Inter,4,9,-5,4,9,-5,10,10
2263,D,Dd;E,Lazzari,Lazio,4,4,0,4,4,0,8,8
6632,D,Dc,Gaspar K.,Lecce,4,8,-4,4,8,-4,15,15
6426,D,Dd;E,Pedersen,Torino,4,4,0,4,4,0,11,11
6631,D,Dc,Ghilardi,Roma,4,4,0,4,4,0,12,12
7011,D,Dc,Slotsager,Verona,4,2,2,4,2,2,7,7
7018,D,Dc,Nelsson,Verona,4,5,-1,4,5,-1,16,16
7253,D,Dc,Bella-Kotchap,Verona,4,6,-2,4,6,-2,13,13
7260,D,Dc,Ziolkowski,Roma,4,3,1,4,3,1,12,12
5168,D,Ds;E,Tsimikas,Roma,4,4,0,4,4,0,9,9
2006,D,B;Dd;E,Lirola,Verona,4,4,0,4,4,0,11,11
7335,D,Dc,Zatterstrom,Genoa,4,4,0,4,4,0,10,10
7012,D,Dc,Provstgaard,Lazio,3,3,0,3,3,0,7,7
7182,D,Ds;E,Ndaba,Lecce,3,1,2,3,1,2,8,8
5273,D,Ds;E,Estupinan,Milan,3,11,-8,3,11,-8,10,10
256,D,Ds;Dc,Juan Jesus,Napoli,3,3,0,3,3,0,20,22
5840,D,Ds;E,Olivera,Napoli,3,10,-7,3,10,-7,9,9
6047,D,Dd;E,Ehizibue,Udinese,3,5,-2,3,5,-2,8,8
6211,D,Ds;E,Zemura,Udinese,3,3,0,3,3,0,8,8
6957,D,Dc,Valentini N.,Verona,3,4,-1,3,4,-1,10,10
7211,D,Dd;E,Athekame,Milan,3,6,-3,3,6,-3,8,8
5427,D,Ds;E,Gutierrez,Napoli,3,8,-5,3,8,-5,10,10
7240,D,Dc,Siebert,Lecce,3,5,-2,3,5,-2,6,6
7268,D,Ds;Dc,Rodriguez Ju.,Cagliari,3,1,2,3,1,2,12,12
388,D,Dc,Albiol,Pisa,3,5,-2,3,5,-2,9,9
7326,D,Dd;Dc,Helland,Bologna,3,4,-1,3,4,-1,9,9
6444,D,Dc,Bonfanti,Pisa,2,2,0,2,2,0,8,8
5498,D,Dc,Casale,Bologna,2,4,-2,2,4,-2,7,7
487,D,Dd;E,De Silvestri,Bologna,2,4,-2,2,4,-2,8,8
2653,D,Ds;E,Lykogiannis,Bologna,2,5,-3,2,5,-3,10,10
5406,D,Dd;E,Di Pardo,Cagliari,2,2,0,2,2,0,4,4
6896,D,Dd;E,Van Der Brempt,Como,2,4,-2,2,4,-2,8,8
1891,D,Dd;Dc,Ceccherini,Cremonese,2,4,-2,2,4,-2,8,10
6977,D,Dc,Otoa,Genoa,2,2,0,2,2,0,9,9
791,D,Dd;Ds;E,Sabelli,Genoa,2,5,-3,2,5,-3,10,12
294,D,Dc,Rugani,Juventus,2,3,-1,2,3,-1,8,8
7175,D,E,Joao Mario,Juventus,2,8,-6,2,7,-5,5,5
6809,D,Dc,Marianucci,Napoli,2,3,-1,2,3,-1,8,8
5481,D,Dd;Ds;E,Mazzocchi,Napoli,2,3,-1,2,3,-1,3,5
7140,D,Dc,Coppola F.,Pisa,2,1,1,2,1,1,4,4
6411,D,Dc,Mateus Lusuardi,Pisa,2,4,-2,2,4,-2,5,5
49,D,B;Ds;E,Masina,Torino,2,3,-1,2,4,-2,8,10
252,D,Ds;E,Biraghi,Torino,2,8,-6,2,8,-6,5,5
5994,D,Ds;Dc,Ebosse,Verona,2,4,-2,2,5,-3,7,9
6537,D,Dd;Dc,Goglichidze,Udinese,2,4,-2,2,4,-2,7,9
6985,D,Ds;Dc,Candè,Sassuolo,2,6,-4,2,6,-4,5,7
7222,D,Dd;Ds;E,Cham,Verona,2,1,1,2,1,1,6,6
7235,D,Dc,Troilo,Parma,2,6,-4,2,6,-4,8,8
5156,D,Ds;E,Nkounkou,Torino,2,3,-1,2,3,-1,8,8
6870,D,Dc,Faye,Cremonese,2,4,-2,2,4,-2,5,5
7274,D,Dc,Zè Pedro,Cagliari,2,4,-2,2,4,-2,10,10
7325,D,Dc,Bozhinov,Pisa,2,2,0,2,2,0,5,5
7336,D,Dc,Tchoca,Torino,2,2,0,2,2,0,5,5
6230,D,Dc,Dossena,Cagliari,1,4,-3,1,4,-3,5,5
418,D,Dc,Goldaniga,Como,1,4,-3,1,4,-3,6,6
2525,D,B;Dd;E,Darmian,Inter,1,4,-3,1,5,-4,7,8
6803,D,Ds;E,Rouhi,Juventus,1,1,0,1,1,0,4,4
5899,D,Dc,Gigot,Lazio,1,4,-3,1,4,-3,3,3
327,D,Dd;Dc,Patric,Lazio,1,4,-3,1,4,-3,5,6
140,D,Dd;Ds;E,Hysaj,Lazio,1,3,-2,1,3,-2,4,4
6883,D,Dc,Jean,Lecce,1,3,-2,1,3,-2,3,3
7164,D,Dd;Dc,Perez M.,Lecce,1,1,0,1,1,0,2,2
7136,D,Dd;Dc,Kouassi,Lecce,1,4,-3,1,5,-4,4,4
7154,D,Dc,Odenthal,Sassuolo,1,3,-2,1,3,-2,7,7
2279,D,Dc,Romagna,Sassuolo,1,4,-3,1,4,-3,8,8
6431,D,Dd;E,Paz Y.,Sassuolo,1,1,0,1,1,0,3,3
7156,D,Ds;E,Pieragnolo,Sassuolo,1,2,-1,1,2,-1,3,3
6041,D,Dc,Schuurs,Torino,1,3,-2,1,3,-2,5,5
6826,D,Dd;E,Dembelè A.,Torino,1,1,0,1,1,0,2,2
6900,D,E,Rui Modesto,Udinese,1,3,-2,1,2,-1,7,7
6992,D,B;Dd;E,Oyegoke,Verona,1,2,-1,1,2,-1,4,5
7196,D,Dc,Denoon,Pisa,1,2,-1,1,2,-1,4,4
7202,D,Dc,Ndiaye,Parma,1,4,-3,1,4,-3,8,8
7238,D,Dc,Kouadio,Fiorentina,1,1,0,1,1,0,1,1
6351,D,Dd;Ds;E,Lamptey,Fiorentina,1,4,-3,1,5,-4,5,5
7271,D,Dc,Odogu,Milan,1,2,-1,1,2,-1,5,5
6665,D,Dd;Ds;E,Coulibaly W.,Sassuolo,1,3,-2,1,4,-3,4,6
7312,D,Ds;E,Arizala,Udinese,1,1,0,1,1,0,1,1
2423,C,T;A,Pulisic,Milan,31,28,3,31,28,3,261,261
6875,C,T;A,Paz N.,Como,30,20,10,30,20,10,270,270
2194,C,M;C,Calhanoglu,Inter,28,23,5,27,24,3,225,245
4777,C,C;T,McTominay,Napoli,24,26,-2,24,26,-2,208,208
2379,C,C;T,Rabiot,Milan,24,23,1,24,23,1,102,102
2167,C,W;A,Orsolini,Bologna,23,30,-7,23,29,-6,210,210
152,C,C;T,Zielinski,Inter,20,4,16,20,4,16,35,35
2606,C,C,Modric,Milan,20,12,8,20,12,8,76,76
2517,C,T,De Bruyne,Napoli,20,23,-3,19,22,-3,90,90
2766,C,T;A,Zaniolo,Udinese,20,11,9,20,10,10,80,80
1933,C,M;C,Mandragora,Fiorentina,19,14,5,19,14,5,82,92
4892,C,E;W,Saelemaekers,Milan,19,12,7,19,14,5,91,91
2765,C,T;A,Odgaard,Bologna,18,16,2,18,15,3,33,33
4220,C,M;C,Zambo Anguissa,Napoli,18,15,3,19,16,3,70,80
6908,C,C,Atta,Udinese,18,6,12,18,6,12,55,55
5800,C,T;A,Gudmundsson A.,Fiorentina,17,24,-7,17,23,-6,75,75
5589,C,M;C,Konè M.,Roma,17,14,3,17,15,2,50,60
5687,C,T,Vlasic,Torino,17,15,2,17,14,3,74,74
6151,C,M;C,Perrone,Como,16,8,8,16,9,7,41,46
7126,C,T,Baturina,Como,16,9,7,16,8,8,26,23
5422,C,E;W,Zalewski,Atalanta,16,6,10,16,6,10,20,20
1870,C,C,Barella,Inter,16,14,2,16,14,2,66,66
6831,C,W;A,Neres,Napoli,16,13,3,16,13,3,43,43
6666,C,C,Bernabè,Parma,16,11,5,16,11,5,33,33
6717,C,M;C,Konè I.,Sassuolo,16,6,10,16,7,9,29,34
530,C,C;T,Pellegrini Lo.,Roma,15,11,4,15,11,4,29,29
4364,C,T,Gaetano,Cagliari,14,8,6,14,7,7,19,17
4427,C,C;T,Malinovskyi,Genoa,14,8,6,14,8,6,42,42
4404,C,C;T,Thorsby,Genoa,14,5,9,14,5,9,12,12
827,C,M;C,Locatelli,Juventus,14,12,2,14,13,1,47,52
4973,C,M;C,McKennie,Juventus,14,10,4,13,11,2,51,61
5562,C,M;C,Thuram K.,Juventus,14,16,-2,14,17,-3,48,53
6884,C,W;A,Conceicao,Juventus,14,18,-4,14,17,-3,38,38
6398,C,W;A,Isaksen,Lazio,14,14,0,14,14,0,28,28
632,C,W;A,Zaccagni,Lazio,14,26,-12,14,25,-11,79,79
2077,C,C;T,Pasalic,Atalanta,13,9,4,13,9,4,22,22
5036,C,C;T,Caqueret,Como,13,12,1,13,12,1,13,13
5559,C,C;W;T,Da Cunha,Como,13,12,1,13,13,0,22,25
7133,C,W;T,Vandeputte,Cremonese,13,12,1,13,12,1,22,25
4711,C,E;W,Kostic,Juventus,13,4,9,13,5,8,17,17
5674,C,C,Basic,Lazio,13,1,12,13,1,12,24,24
5504,C,M;C,Coulibaly L.,Lecce,13,7,6,13,8,5,21,26
5453,C,M;C,Ricci S.,Milan,13,10,3,14,11,3,13,16
7314,C,C;T,Taylor K.,Lazio,13,14,-1,13,14,-1,32,32
6640,C,W,Felici,Cagliari,12,6,6,11,5,6,10,10
333,C,M;C,Cataldi,Lazio,12,5,7,12,5,7,23,28
6015,C,C;T,Berisha M.,Lecce,12,3,9,12,3,9,22,22
4199,C,C;T,Loftus-Cheek,Milan,12,8,4,12,8,4,16,16
779,C,M;C,Cristante,Roma,12,9,3,12,9,3,29,34
5844,C,C;T,Thorstvedt,Sassuolo,12,8,4,12,8,4,25,25
5735,C,W;T,Volpato,Sassuolo,12,5,7,12,5,7,16,19
6684,C,C;T,Ekkelenkamp,Udinese,12,10,2,12,10,2,18,18
2839,C,W;A,Sottil,Lecce,12,11,1,11,10,1,17,17
5298,C,M;C,Pobega,Bologna,11,8,3,11,9,2,16,21
6020,C,C;W,Ellertsson,Genoa,11,5,6,11,5,6,14,16
7070,C,C,Sucic P.,Inter,11,9,2,11,9,2,18,18
2334,C,W,Leris,Pisa,11,2,9,11,2,9,10,10
6815,C,W,Fadera,Sassuolo,11,6,5,11,5,6,17,15
6458,C,C,Serdar,Verona,11,5,6,11,5,6,16,16
1976,C,M;C,Mazzitelli,Cagliari,11,5,6,11,5,6,17,22
22,C,M;C,De Roon,Atalanta,10,12,-2,10,13,-3,35,40
5792,C,M;C,Ederson D.S.,Atalanta,10,15,-5,10,16,-6,31,36
4947,C,C;T,Brescianini,Fiorentina,10,8,2,10,8,2,25,25
5119,C,T,Samardzic,Atalanta,10,12,-2,10,11,-1,10,10
2529,C,C;T,Mkhitaryan,Inter,10,9,1,10,9,1,20,20
5813,C,C;T,Miretti,Juventus,10,5,5,10,5,5,32,32
4686,C,M;C,Fofana Y.,Milan,10,11,-1,10,12,-2,27,32
4287,C,M;C,Lobotka,Napoli,10,9,1,10,10,0,25,30
536,C,W,Politano,Napoli,10,15,-5,11,14,-3,21,21
7146,C,E;M,Tourè I.,Pisa,10,6,4,10,7,3,25,30
5318,C,W;T,Tramoni M.,Pisa,10,12,-2,10,12,-2,24,26
6680,C,M;C,Karlstrom,Udinese,10,6,4,10,6,4,18,23
2528,C,M;C,Matic,Sassuolo,10,4,6,11,5,6,17,22
5651,C,W,Harrison,Fiorentina,10,10,0,10,10,0,20,20
5791,C,M;C,Frendrup,Genoa,9,9,0,10,10,0,23,28
7028,C,C,Bernede,Verona,9,4,5,9,4,5,15,15
5761,C,W,Zhegrova,Juventus,9,19,-10,9,19,-10,15,15
6054,C,M;C,Moro N.,Bologna,8,3,5,8,3,5,11,16
6206,C,C;T,Fabbian,Fiorentina,8,10,-2,8,10,-2,16,16
6252,C,C;T,Folorunsho,Cagliari,8,9,-1,8,9,-1,16,16
4465,C,C,Fagioli,Fiorentina,8,8,0,8,8,0,28,28
6898,C,M;C,Keita M.,Parma,8,6,2,8,7,1,14,17
7198,C,C,Piotrowski,Udinese,8,6,2,8,6,2,14,14
6844,C,W;T,Rowe,Bologna,8,14,-6,8,14,-6,22,24
801,C,M;C,Gagliardini,Verona,8,2,6,8,2,6,6,8
4870,C,M;C,Adopo,Cagliari,7,5,2,7,6,1,14,15
5992,C,M;C,Bondo,Cremonese,7,3,4,7,3,4,16,21
795,C,W,El Shaarawy,Roma,7,8,-1,7,7,0,12,12
5888,C,C;T,Casadei,Torino,7,12,-5,7,12,-5,21,21
6481,C,C,Payero,Cremonese,7,4,3,7,4,3,8,8
7254,C,T,Lorran,Pisa,7,7,0,7,6,1,13,10
7318,C,C;T,Gandelman,Lecce,7,6,1,7,6,1,13,13
7331,C,M;C,Loyola,Pisa,7,7,0,8,8,0,16,21
5858,C,C;T,Ferguson,Bologna,6,11,-5,6,11,-5,16,16
1871,C,M;C,Deiola,Cagliari,6,5,1,6,5,1,14,17
6424,C,M;C,Prati,Cagliari,6,3,3,6,3,3,11,14
6294,C,M;C,Ndour,Fiorentina,6,2,4,6,2,4,14,17
4970,C,C;W,Messias,Genoa,6,8,-2,6,8,-2,10,10
5301,C,E;W,Luis Henrique,Inter,6,7,-1,6,7,-1,15,15
181,C,M;C,Vecino,Lazio,6,6,0,6,6,0,13,16
6549,C,W;A,Pierotti,Lecce,6,10,-4,6,9,-3,14,12
5998,C,E;W,Zerbin,Cremonese,6,3,3,6,3,3,10,13
5131,C,M;C,Gilmour,Napoli,6,7,-1,6,7,-1,12,15
6593,C,C;T,Akinsanmiro,Pisa,6,3,3,6,3,3,12,12
6190,C,C,Pisilli,Roma,6,7,-1,6,7,-1,16,16
5823,C,T;A,Baldanzi,Genoa,6,8,-2,6,8,-2,31,31
7209,C,C,Sorensen O.,Parma,6,6,0,6,6,0,11,11
788,C,M;C,Freuler,Bologna,5,11,-6,5,12,-7,16,21
5784,C,C,Aebischer,Pisa,5,4,1,5,4,1,12,12
184,C,W;A,Bernardeschi,Bologna,5,9,-4,5,8,-3,13,13
27,C,M;C,Grassi,Cremonese,5,4,1,5,4,1,8,10
6917,C,M;C,Masini,Genoa,5,5,0,5,5,0,10,12
6394,C,M;C,Ramadani,Lecce,5,6,-1,5,7,-2,13,16
5295,C,C;W,Musah,Atalanta,5,6,-1,5,6,-1,11,13
5290,C,M;C,Estevez,Parma,5,2,3,5,2,3,10,10
6984,C,W;A,Ondrejka,Parma,5,13,-8,5,12,-7,18,18
7145,C,E;M,Piccinini G.,Pisa,5,6,-1,5,7,-2,12,15
