Id,Ruolo,RuoloMantra,Giocatore,Squadra,PrezzoAttuale,PrezzoIniziale,FVM
,A,A,Kilicsoy,Cagliari,16,6,35
,C,M;C,Konè M.,Roma,16,14,45
,C,M;C,McKennie,Juventus,16,10,82
,C,W;A,Neres,Napoli,16,13,35
,C,M;C,Perrone,Como,16,8,40
,C,W;A,Conceicao,Juventus,15,18,42
,A,Pc,David,Juventus,15,27,61
,A,Pc,Ferguson E.,Roma,15,19,24
,A,Pc,Lukaku,Napoli,15,31,55
,C,C;T,Malinovskyi,Genoa,15,8,48
,D,Dc,Pavlovic,Milan,15,7,30
,C,C;T,Pellegrini Lo.,Roma,15,11,29
,A,A,Raspadori,Atalanta,15,13,69
,D,E,Wesley,Roma,15,14,45
,C,E;W,Zalewski,Atalanta,15,6,24
,P,Por,Audero,Cremonese,14,5,11
,A,W;A,Cancellieri,Lazio,14,3,22
,C,M;C,Cataldi,Lazio,14,5,23
,D,B;Dd;E,Celik,Roma,14,7,14
,A,Pc,Dovbyk,Roma,14,21,12
,C,C;T,Ekkelenkamp,Udinese,14,10,27
,A,Pc,Fullkrug,Milan,14,13,35
,C,T,Gaetano,Cagliari,14,8,20
,C,W;A,Isaksen,Lazio,14,14,33
,C,E;W,Kostic,Juventus,14,4,17
,C,M;C,Locatelli,Juventus,14,12,47
,C,C;T,Loftus-Cheek,Milan,14,8,22
,A,A,Malen,Roma,14,14,67
,D,Dc,Ostigard,Genoa,14,5,25
,A,Pc,Pinamonti,Sassuolo,14,16,46
,A,Pc,Ratkov,Lazio,14,15,25
,D,Dc,Scalvini,Atalanta,14,8,17
,C,C;T,Taylor K.,Lazio,14,14,38
,C,C;T,Thorsby,Cremonese,14,5,12
,C,M;C,Thuram K.,Juventus,14,16,49
,A,Pc,Vlahovic,Juventus,14,24,50
,D,Ds;E,Bartesaghi,Milan,13,3,26
,C,C,Basic,Lazio,13,1,24
,D,Dc,Bisseck,Inter,13,9,30
,A,Pc,Borrelli,Cagliari,13,5,12
,P,Por,Caprile,Cagliari,13,7,28
,D,B;Ds;E,Carlos Augusto,Inter,13,10,17
,A,Pc,Colombo,Genoa,13,12,44
,C,M;C,Coulibaly L.,Lecce,13,7,21
,C,C;W;T,Da Cunha,Como,13,12,25
,A,A,Dybala,Roma,13,26,65
,D,Dd;Dc,Kalulu,Juventus,13,9,55
,D,Ds;E,Martin,Genoa,13,10,27
,C,M;C,Mazzitelli,Cagliari,13,5,17
,D,Dc,Ramon,Como,13,4,28
,C,M;C,Ricci S.,Milan,13,10,13
,P,Por,Sommer,Inter,13,16,64
,C,W;T,Vandeputte,Cremonese,13,12,20
,A,Pc,Vitinha O.,Genoa,13,12,30
,C,W;A,Zaccagni,Lazio,13,26,65
,A,W;A,Banda,Lecce,12,5,12
,D,Dc,Baschirotto,Cremonese,12,8,20
,C,C;T,Berisha M.,Lecce,12,3,22
,C,C;T,Caqueret,Como,12,12,13
,D,Dc,Coco,Torino,12,8,15
,C,M;C,Cristante,Roma,12,9,28
,D,Dd;E,Di Lorenzo,Napoli,12,14,37
,A,Pc,Gimenez,Milan,12,25,10
,D,Dd;E,Holm,Juventus,12,8,18
,D,Dc,Kabasele,Udinese,12,3,13
,P,Por,Muric,Sassuolo,12,3,14
,P,Por,Okoye,Udinese,12,6,12
,C,C;T,Pasalic,Atalanta,12,9,21
,A,W;A,Rodriguez Je.,Como,12,5,23
,D,Dc,Rrahmani,Napoli,12,11,34
,D,Dc,Solet,Udinese,12,11,38
,C,W;A,Sottil,Lecce,12,11,17
,C,C;T,Thorstvedt,Sassuolo,12,8,25
,D,Dd;E,Vojvoda,Como,12,6,12
,C,W;T,Volpato,Sassuolo,12,5,16
,A,W;A,Addai,Como,11,7,13
,D,Dc,Akanji,Inter,11,9,51
,C,M;C,Ederson D.S.,Atalanta,11,15,34
,C,W,Fadera,Sassuolo,11,6,17
,C,W,Felici,Cagliari,11,6,10
,D,Ds;Dc,Kelly L.,Juventus,11,7,22
,C,W,Leris,Pisa,11,2,13
,D,Dc,Mancini,Roma,11,11,39
,D,Dc,Maripan,Torino,11,7,20
,C,M;C,Matic,Sassuolo,11,4,17
,C,C;T,Miretti,Juventus,11,5,26
,A,A,Noslin,Lazio,11,7,11
,C,C,Serdar,Verona,11,5,16
,C,C,Sucic P.,Inter,11,9,18
,A,A,Sulemana K.,Atalanta,11,9,11
,D,Dd;Ds;E,Terracciano F.,Cremonese,11,2,14
,D,Dd;E,Belghali,Verona,10,4,20
,D,E,Bernasconi,Atalanta,10,1,20
,C,C;T,Brescianini,Fiorentina,10,8,28
,D,Dc,Buongiorno,Napoli,10,13,17
,D,B;Ds;E,Cabal,Juventus,10,5,10
,P,Por,De Gea,Fiorentina,10,14,18
,D,E,Dumfries,Inter,10,20,25
,A,A,Ekuban,Genoa,10,2,11
,C,C;W,Ellertsson,Genoa,10,5,14
,C,M;C,Fofana Y.,Milan,10,11,27
,C,M;C,Frendrup,Genoa,10,9,23
,D,E,Gosens,Fiorentina,10,18,23
,D,Dc,Hermoso,Roma,10,3,18
,D,Ds;E,Idrissi R.,Cagliari,10,3,13
,C,M;C,Karlstrom,Udinese,10,6,18
,P,Por,Leali,Genoa,10,8,2
,C,M;C,Lobotka,Napoli,10,9,25
,D,Ds;E,Miranda J.,Bologna,10,9,13
,C,C;T,Mkhitaryan,Inter,10,9,20
,D,Ds;E,Moreno Alb.,Como,10,3,8
,A,W;A,N'Dri,Lecce,10,5,10
,A,Pc,Nzola,Sassuolo,10,12,12
,C,M;C,Pobega,Bologna,10,8,16
,C,W,Politano,Napoli,10,15,25
,C,T,Samardzic,Atalanta,10,12,10
,P,Por,Skorupski,Bologna,10,10,10
,C,W;A,Strefezza,Parma,10,14,30
,D,Ds;Dc,Vasquez,Genoa,10,9,24
,A,Pc,Vaz,Roma,10,10,20
,D,Dd;E,Zanoli,Udinese,10,3,12
,D,Dd;Ds;E,Barbieri,Cremonese,9,3,13
,C,C,Bernede,Verona,9,4,15
,P,Por,Bijlow,Genoa,9,10,11
,D,E,Cambiaso,Juventus,9,15,18
,D,Dc,Circati,Parma,9,5,15
,P,Por,Corvi,Parma,9,1,12
,C,M;C,De Roon,Atalanta,9,12,34
,D,B;Dd;E,Delprato,Parma,9,8,19
,A,A,Ekhator,Genoa,9,1,11
,C,W,Harrison,Fiorentina,9,10,20
,D,Dc,Idzes,Sassuolo,9,7,13
,D,Dc,Luperto,Cremonese,9,7,17
,D,Dc,Mina,Cagliari,9,7,14
,P,Por,Montipò,Verona,9,5,2
,A,Pc,Openda,Juventus,9,22,18
,P,Por,Paleari,Torino,9,1,11
,A,A,Pedro,Lazio,9,13,15
,A,Pc,Piccoli,Fiorentina,9,17,15
,P,Por,Ravaglia F.,Bologna,9,3,8
,P,Por,Semper,Pisa,9,3,2
,C,E;M,Tourè I.,Pisa,9,6,24
,C,W;T,Tramoni M.,Pisa,9,12,23
,D,Ds;E,Valeri,Parma,9,10,21
,D,Ds;E,Valle,Como,9,6,14
,C,W,Zhegrova,Juventus,9,19,15
,D,Ds;E,Angori,Pisa,8,5,13
,A,Pc,Belotti,Cagliari,8,12,30
,C,C;T,Casadei,Torino,8,12,21
,A,Pc,Dallinga,Bologna,8,10,12
,D,Dd;Dc,De Winter,Milan,8,8,12
,D,E,Dodò,Fiorentina,8,11,33
,C,C;T,Fabbian,Fiorentina,8,10,16
,C,C,Fagioli,Fiorentina,8,8,27
,D,Dc,Folino,Cremonese,8,4,5
,C,C;T,Folorunsho,Cagliari,8,9,14
,D,Dc,Gabbia,Milan,8,6,22
,C,M;C,Gagliardini,Verona,8,2,6
,D,Ds;E,Gallo,Lecce,8,5,13
,D,Dc,Gila,Lazio,8,9,22
,C,M;C,Keita M.,Parma,8,6,14
,A,Pc,Meister,Pisa,8,2,13
,P,Por,Meret,Napoli,8,16,27
,C,M;C,Moro N.,Bologna,8,3,11
,A,Pc,Mosquera,Verona,8,6,12
,D,Dc,Muharemovic,Sassuolo,8,5,20
,C,C,Piotrowski,Udinese,8,6,14
,D,Dc,Romagnoli,Lazio,8,8,21
,C,W;T,Rowe,Bologna,8,14,21
,A,W;A,Solomon,Fiorentina,8,7,18
,P,Por,Suzuki,Parma,8,7,10
,D,Dc,Tiago Gabriel,Lecce,8,1,20
,D,Dc,Tomori,Milan,8,8,30
,D,B;Dd;E,Zappa,Cagliari,8,6,12
,D,E,Zappacosta,Atalanta,8,13,20
,D,E,Zortea,Bologna,8,16,14
,C,M;C,Adopo,Cagliari,7,5,14
,C,C,Aebischer,Pisa,7,4,12
,D,E,Angelino,Roma,7,15,10
,D,Dc,Bertola,Udinese,7,6,13
,D,Dc,Beukema,Napoli,7,10,11
,D,Dd;Ds;E,Britschgi,Parma,7,1,12
,A,Pc,Buksa,Udinese,7,9,12
,A,Pc,Cheddira,Lecce,7,4,10
,D,Dc,Comuzzo,Fiorentina,7,7,16
,D,E,Cuadrado,Pisa,7,7,8
,D,Dc,Diego Carlos,Como,7,5,21
,C,W,El Shaarawy,Roma,7,8,12
,C,C;T,Gandelman,Lecce,7,6,13
,D,Ds;Dc,Heggem,Bologna,7,4,18
,D,Dc,Hien,Atalanta,7,11,21
,D,Dd;Dc,Kossounou,Atalanta,7,9,10
,D,Dd;Dc,Kristensen T.,Udinese,7,5,13
,C,T,Lorran,Pisa,7,7,13
,C,M;C,Loyola,Pisa,7,7,16
,C,E;W,Luis Henrique,Inter,7,7,15
,D,Dc,Marcandalli,Genoa,7,3,12
,D,Dd;Ds;E,Marusic,Lazio,7,8,14
,C,C;W,Messias,Genoa,7,8,10
,D,Dd;E,Norton-Cuffy,Genoa,7,3,16
,D,E,Parisi,Fiorentina,7,5,14
,C,C,Payero,Cremonese,7,4,8
,C,W;A,Santos A.,Napoli,7,7,15
,A,Pc,Stulic,Lecce,7,13,18
,C,W;A,Zaragoza,Roma,7,7,15
,C,C;T,Akinsanmiro,Pisa,6,3,12
,D,E,Bellanova,Atalanta,6,13,16
,D,Dc,Bianchetti,Cremonese,6,3,12
,A,W;A,Boga,Juventus,6,6,13
,C,M;C,Bondo,Cremonese,6,3,13
,A,A,Bowie,Verona,6,6,13
,D,Dc,Djimsiti,Atalanta,6,8,15
,D,Ds;E,Doig,Sassuolo,6,6,14
,C,W;T,Elmas,Napoli,6,11,23
,C,C;T,Ferguson,Bologna,6,11,16
,D,E,Fortini,Fiorentina,6,3,9
,C,M;C,Gilmour,Napoli,6,7,12
,D,Ds;E,Gutierrez,Napoli,6,8,10
,D,Dc,Ismajli,Torino,6,8,10
,A,W;A,Kuhn,Como,6,14,11
,D,Dd;E,Lazaro,Torino,6,7,12
,D,Dc,Lucumì,Bologna,6,8,12
,D,Dc,N'Dicka,Roma,6,10,28
,C,M;C,Ndour,Fiorentina,6,2,14
,A,A,Njie,Torino,6,1,4
,D,Ds;Dc,Obert,Cagliari,6,4,15
,D,Ds;E,Obrador,Torino,6,6,15
,D,Ds;E,Pellegrini Lu.,Lazio,6,3,11
,C,W;A,Pierotti,Lecce,6,10,14
,C,C,Pisilli,Roma,6,7,16
,C,M;C,Prati,Torino,6,3,12
,D,Ds;Dc,Ranieri L.,Fiorentina,6,7,10
,A,Pc,Sanabria,Cremonese,6,7,10
,C,C,Sorensen O.,Parma,6,6,11
,D,Ds;E,Tavares N.,Lazio,6,12,10
,D,Dc,Valenti,Parma,6,4,14
,C,W;T,Vergara,Napoli,6,1,23
,D,Dd;Dc,Walukiewicz,Sassuolo,6,5,13
,A,Pc,Zapata D.,Torino,6,20,14
,C,E;W,Zerbin,Cremonese,6,3,10
,D,Dc,Acerbi,Inter,5,9,10
,D,B;Ds;E,Ahanor,Atalanta,5,6,12
,C,M;C,Amorim,Genoa,5,5,11
,C,T;A,Baldanzi,Genoa,5,8,24
,C,W;A,Bernardeschi,Bologna,5,9,12
,D,Ds;E,Bradaric,Verona,5,4,11
,D,B;Dd;E,Calabresi,Pisa,5,3,7
,D,Dc,Canestrelli,Pisa,5,3,12
,D,Dc,Caracciolo A.,Pisa,5,4,12
,C,M;C,Deiola,Cagliari,5,5,14
,A,Pc,Dia,Lazio,5,20,12
,A,W;A,Dominguez B.,Bologna,5,9,13
,C,M;C,Estevez,Parma,5,2,10
,D,Ds;E,Frese,Verona,5,3,12
,C,M;C,Freuler,Bologna,5,11,16
,D,Dc,Gatti,Juventus,5,8,8
,D,Dc,Ghilardi,Roma,5,4,12
,C,M;C,Grassi,Cremonese,5,4,8
,C,E;W,Iling Junior,Pisa,5,5,13
,D,Ds;E,Kamara H.,Udinese,5,7,15
,A,Pc,Kulenovic,Torino,5,5,13
,C,M;C,Masini,Genoa,5,5,10
,C,C;W,Musah,Atalanta,5,6,11
,C,M;C,Niasse,Verona,5,3,10
,C,W;A,Ondrejka,Parma,5,13,17
,D,Dd;E,Pedersen,Torino,5,4,11
,C,E;M,Piccinini G.,Pisa,5,6,12
,C,M;C,Ramadani,Lecce,5,6,13
,D,B;Dd;E,Rensch,Roma,5,5,10
,A,A,Sarr A.,Verona,5,8,8
,C,M;C,Sulemana I.,Cagliari,5,4,10
,D,Dd;E,Veiga D.,Lecce,5,1,13
,D,Dd;E,Athekame,Milan,4,6,8
,D,Dc,Bella-Kotchap,Verona,4,6,13
,A,Pc,Camarda,Lecce,4,12,8
,D,Dd;E,Ehizibue,Udinese,4,5,8
,C,M;C,El Aynaoui,Roma,4,9,13
,D,Dd;E,Floriani Mussolini,Cremonese,4,5,10
,C,C;T,Frattesi,Inter,4,14,10
,D,Dc,Gaspar K.,Lecce,4,8,15
,C,C,Gineitis,Torino,4,5,11
,C,C,Iannoni,Sassuolo,4,1,8
,C,C,Jashari,Milan,4,13,11
,D,Ds;Dc,Juan Jesus,Napoli,4,3,21
,D,B;Ds;E,Kolasinac,Atalanta,4,7,14
,C,C;T,Koopmeiners,Juventus,4,14,12
,D,Dd;E,Lazzari,Lazio,4,4,8
,C,M;C,Lipani,Sassuolo,4,4,8
,D,B;Dd;E,Lirola,Verona,4,4,11
,C,M;C,Maleh,Cremonese,4,6,6
,C,M;C,Marin M.,Pisa,4,6,11
,D,Dc,Nelsson,Verona,4,5,14
,C,W;T;A,Oristanio,Parma,4,12,12
,D,Ds;E,Pezzella Giu.,Cremonese,4,5,11
,D,Dc,Pongracic,Fiorentina,4,5,12
,D,Dc,Provstgaard,Lazio,4,3,7
,D,Dd;Dc,Smolcic I.,Como,4,2,12
,C,C,Sohm,Bologna,4,12,10
,A,Pc,Stojilkovic,Pisa,4,4,11
,C,M;C,Tameze,Torino,4,5,9
,D,Ds;E,Tsimikas,Roma,4,4,9
,D,Dc,Vitik,Bologna,4,8,13
,D,Dc,Zatterstrom,Genoa,4,4,10
,A,A,Aboukhlal,Torino,3,9,9
,C,C;T,Adzic,Juventus,3,1,1
,C,M;C,Al-Musrati,Verona,3,4,7
,A,W;A,Almqvist,Parma,3,4,10
,C,C;T,Anjorin,Torino,3,10,10
,C,C;T,Bakola,Sassuolo,3,3,8
,A,Pc,Bayo V.,Udinese,3,4,8
,C,M;C,Belahyane,Lazio,3,4,7
,D,Dc,De Vrij,Inter,3,9,10
,C,C;T,Dele-Bashiru,Lazio,3,11,10
,A,W;A,Diao,Como,3,17,14
,D,Ds;E,Estupinan,Milan,3,11,10
,D,B;Ds;E,Garcia U.,Sassuolo,3,3,8
,C,W;T,Harroui,Verona,3,7,12
,D,Dd;Dc,Helland,Bologna,3,4,9
,C,C,Ilic,Torino,3,7,8
,C,C;T,Ilkhan,Torino,3,1,10
,C,C,Lovric,Verona,3,9,12
,C,T;A,Maldini,Lazio,3,9,18
,D,Dc,Marianucci,Torino,3,3,12
,C,M;C,Miller L.,Udinese,3,3,14
,D,Dc,Mlacic,Udinese,3,3,8
,A,Pc,Morata,Como,3,18,12
,C,M;C,Nicolussi Caviglia,Parma,3,9,14
,D,Ds;E,Olivera,Napoli,3,10,9
,P,Por,Padelli,Udinese,3,1,1
,P,Por,Perin,Juventus,3,1,1
,P,Por,Rinaldi,Parma,3,1,1
,D,Ds;Dc,Rodriguez Ju.,Cagliari,3,1,10
,C,M;C,Rovella,Lazio,3,8,12
,C,M;C,Sergi Roberto,Como,3,4,10
,D,Dc,Siebert,Lecce,3,5,6
,D,Dc,Slotsager,Verona,3,2,9
,D,Dc,Valentini N.,Verona,3,4,10
,D,Ds;E,Zemura,Udinese,3,3,8
,D,Dc,Ziolkowski,Roma,3,3,12
,D,Dc,Zè Pedro,Cagliari,3,4,10
,C,M;C,Akpa Akpro,Verona,2,1,6
,D,Dc,Albiol,Pisa,2,5,9
,D,Ds;E,Biraghi,Torino,2,8,5
,C,M;C,Boloca,Sassuolo,2,6,4
,D,Ds;Dc,Candè,Sassuolo,2,6,5
,D,Ds;E,Carboni F.,Parma,2,2,4
,D,Dc,Casale,Bologna,2,4,7
,D,Dd;Dc,Ceccherini,Cremonese,2,4,8
,D,Dd;Ds;E,Cham,Verona,2,1,6
,C,M;C,Collocolo,Cremonese,2,8,13
,D,Dc,Coppola F.,Pisa,2,1,4
,C,W,Cornet,Genoa,2,7,5
,D,B;Dd;E,Darmian,Inter,2,4,7
,D,Dd;E,De Silvestri,Bologna,2,4,8
,A,Pc,Djuric,Cremonese,2,9,10
,D,Ds;Dc,Ebosse,Torino,2,4,7
,D,Dc,Edmundsson,Verona,2,2,5
,D,Dc,Faye,Cremonese,2,4,5
,C,C;T,Fazzini,Fiorentina,2,11,8
,C,M;C,Gorter,Lecce,2,1,1
,A,Pc,Gueye,Udinese,2,1,1
,C,C;T,Helgason,Lecce,2,8,7
,A,Pc,Isaac,Verona,2,1,1
,P,Por,Israel,Torino,2,9,1
,C,C;T,Lahdo,Como,2,2,9
,D,Ds;E,Lykogiannis,Bologna,2,5,10
,D,Dd;Ds;E,Mazzocchi,Napoli,2,3,3
,A,Pc,Moro L.,Sassuolo,2,1,1
,A,Pc,Moumbagna,Cremonese,2,6,9
,D,Ds;E,Ndaba,Lecce,2,1,8
,C,M;C,Onana J.,Genoa,2,2,4
,C,M;C,Ordonez C.,Parma,2,5,10
,D,Dc,Otoa,Genoa,2,2,9
,P,Por,Perilli,Verona,2,1,5
,C,W;T,Przyborek,Lazio,2,2,6
,D,Dc,Rugani,Fiorentina,2,3,10
,D,Dd;Ds;E,Sabelli,Genoa,2,5,10
,C,T,Sabiri,Fiorentina,2,2,4
,P,Por,Scuffet,Pisa,2,3,6
,D,Dc,Troilo,Parma,2,6,8
,D,Dd;E,Van Der Brempt,Como,2,4,8
,C,W,Venturino,Roma,2,3,13
,C,M;C,Vranckx,Sassuolo,2,4,10
,C,C,Vural,Pisa,2,3,6
,C,M;C,Zarraga,Udinese,2,2,6
,A,A,Albarracin,Cagliari,1,1,1
,A,Pc,Arena A.,Roma,1,1,1
,D,Ds;E,Arizala,Udinese,1,1,1
,A,A,Balentien,Milan,1,1,1
,D,Dc,Bozhinov,Pisa,1,2,9
,P,Por,Calligaris,Inter,1,1,1
,P,Por,Cavlina,Como,1,1,1
,P,Por,Christensen O.,Fiorentina,1,1,1
,P,Por,Ciocci,Cagliari,1,1,1
,P,Por,Contini,Napoli,1,1,1
,D,Dd;Ds;E,Coulibaly W.,Sassuolo,1,3,4
,C,C,Cremaschi,Parma,1,5,8
,D,Dc,Denoon,Pisa,1,2,4
,P,Por,Di Gennaro,Inter,1,1,1
,C,C,Diouf,Inter,1,7,10
,D,Dc,Dossena,Cagliari,1,4,5
,A,Pc,Elphege,Parma,1,1,1
,P,Por,Ferrante,Napoli,1,1,1
,C,M;C,Fofana Sa.,Lecce,1,1,2
,A,Pc,Frigan,Parma,1,7,7
,P,Por,Fruchtl,Lecce,1,1,1
,P,Por,Furlanetto,Lazio,1,1,1
,D,Dc,Gigot,Lazio,1,4,3
,D,Dc,Goldaniga,Como,1,4,6
,P,Por,Gollini,Roma,1,1,1
,C,M;C,Hojholt,Pisa,1,1,2
,D,Dd;Ds;E,Hysaj,Lazio,1,3,4
,D,Dc,Jean,Lecce,1,3,3
,D,E,Joao Mario,Bologna,1,8,8
,D,Dc,Kouadio,Fiorentina,1,1,1
,D,Dd;Ds;E,Lamptey,Fiorentina,1,4,5
,P,Por,Lezzerini,Fiorentina,1,1,1
,C,M;C,Liteta,Cagliari,1,1,6
,C,T,Marchwinski,Lecce,1,1,2
,P,Por,Martinez Jo.,Inter,1,2,1
,A,Pc,Milik,Juventus,1,1,5
,P,Por,Motta,Lazio,1,1,1
,P,Por,Nava,Cremonese,1,1,1
,D,Dc,Ndiaye,Parma,1,4,8
,C,M;C,Ngom,Lecce,1,1,1
,P,Por,Nicolas,Pisa,1,1,1
,D,Ds;E,Nkounkou,Torino,1,3,8
,P,Por,Nunziante,Udinese,1,1,1
,D,Dc,Odogu,Milan,1,2,5
,A,A,Okereke,Cremonese,1,5,3
,D,B;Dd;E,Oyegoke,Verona,1,2,4
,D,Dd;Dc,Patric,Lazio,1,4,5
,A,Pc,Pavoletti,Cagliari,1,1,3
,D,Dc,Pedro Felipe,Sassuolo,1,1,3
,D,Dd;Dc,Perez M.,Lecce,1,1,2
,P,Por,Pessina Mas.,Bologna,1,1,1
,D,Ds;E,Pieragnolo,Sassuolo,1,2,3
,P,Por,Pinsoglio,Juventus,1,1,1
,D,Dd;E,Raterink,Cagliari,1,1,1
,D,Dc,Romagna,Sassuolo,1,4,8
,P,Por,Rossi F.,Atalanta,1,1,1
,C,C,Sala A.,Lecce,1,3,9
,P,Por,Samooja,Lecce,1,1,1
,P,Por,Satalino,Sassuolo,1,1,1
,P,Por,Sava,Udinese,1,4,1
,P,Por,Sherri,Cagliari,1,1,1
,P,Por,Siegrist,Genoa,1,1,1
,P,Por,Silvestri,Cremonese,1,1,1
,P,Por,Siviero,Torino,1,1,1
,P,Por,Sommariva,Genoa,1,1,1
,P,Por,Sportiello,Atalanta,1,1,1
,C,W;T,Stengs,Pisa,1,11,13
,C,W;T,Suslov,Verona,1,9,14
,P,Por,Terracciano,Milan,1,1,1
,P,Por,Toniolo,Verona,1,1,1
,P,Por,Tornqvist,Como,1,1,1
,P,Por,Torriani,Milan,1,1,1
,A,Pc,Trepy,Cagliari,1,1,1
,P,Por,Turati,Sassuolo,1,7,1
,P,Por,Vigorito,Como,1,1,1
,P,Por,Zelezny,Roma,1,1,1
