giornata,team,modulo,portiere,difensori,centrocampisti,attaccanti
24,Temptation Haaland,4-3-3,Maignan,Dimarco;Frese;Valeri;Bellanova,Ndour;McTominay;Vergara,David;Martinez L.;Malen
24,AC DENTI,3-4-3,Sommer,Tiago Gabriel;Cambiaso;Gosens,McKennie;Orsolini;Pulisic;McTominay,Yildiz;Hojlund;Martinez L.
24,PEAKY BLINDERS,4-3-3,Di Gregorio,Martin;Bellanova;Dodò;Frese,Sorensen O.;Maldini;Zaniolo,Hojlund;Martinez L.;David
24,Boiali,3-4-3,Maignan,Ramon;Delprato;Tiago Gabriel,McTominay;Paz N.;Orsolini;Zaniolo,Douvikas;Malen;Martinez L.
24,BANDITI,4-3-3,De Gea,Norton-Cuffy;Valeri;Martin;Muharemovic,Paz N.;Aebischer;Rabiot,Martinez L.;Soulè;Douvikas
24,Malmö FF,3-4-3,Di Gregorio,Buongiorno;Wesley;Terracciano F.,Zaragoza;McTominay;Modric;Malinovskyi,Esposito Se.;Berardi;Martinez L.
24,Giubbentus,4-3-3,Maignan,Canestrelli;Bozhinov;Smolcic I.;Tiago Gabriel,Aebischer;Zaniolo;McKennie,Scamacca;Martinez L.;David
24,Hellas merdona,4-3-3,De Gea,Norton-Cuffy;Lazaro;Mancini;Tiago Gabriel,Pulisic;Malinovskyi;Paz N.,Kilicsoy;Martinez L.;Malen
24,Sarzanello Team,4-3-3,Maignan,Angori;Martin;Wesley;Miranda J.,Paz N.;Adopo;Atta,Martinez L.;Yildiz;Esposito F.P.
24,SPOSTATI,4-3-3,De Gea,Palestra;Valle;Mina;Martin,Vergara;Isaksen;Mazzitelli,Hojlund;Martinez L.;Leao
24,scarsenal,3-4-3,Caprile,Norton-Cuffy;Ramon;Pavlovic,McTominay;McKennie;Atta;Orsolini,Scamacca;Malen;Martinez L.
24,coach 71,3-4-3,Maignan,Norton-Cuffy;Miranda J.;N'Dicka,Zaragoza;Zaniolo;Malinovskyi;Zielinski,Kean;Malen;Hojlund
24,i bro,3-4-3,Svilar,Zemura;Tiago Gabriel;Dodò,Miretti;Mkhitaryan;McTominay;McKennie,Esposito Se.;Hojlund;Thuram
24,Real Mellandro,3-4-3,Maignan,Smolcic I.;Canestrelli;Tiago Gabriel,Pulisic;Aebischer;Maldini;Zaniolo,Berardi;Martinez L.;Malen
24,puerto rosso blu,4-4-2,Skorupski,Gutierrez;Wesley;Palestra;Vojvoda,Gudmundsson A.;Vergara;McTominay;Nicolussi Caviglia,Scamacca;Thuram
24,Riccardigno,4-4-2,Maignan,Gosens;Tiago Gabriel;Tavares N.;Valeri,Brescianini;Paz N.;Zaniolo;Pulisic,Kilicsoy;David
24,BinuSpuntu,3-4-3,Sommer,Terracciano F.;Valeri;Canestrelli,Atta;McTominay;McKennie;Paz N.,Martinez L.;Hojlund;David
24,Longobarda,4-3-3,Maignan,Akanji;Dodò;Cambiaso;Vasquez,McTominay;Marin M.;Baldanzi,Soulè;Berardi;Kean
24,SAGATU,3-4-3,Okoye,Gosens;Nelsson;Cambiaso,Atta;McKennie;Lovric;Baturina,David;Martinez L.;Kean
24,LEONE,3-4-3,Meret,Pavlovic;Bremer;Kempf,Atta;Ederson D.S.;Saelemaekers;Paz N.,Kilicsoy;Berardi;Davis K.
24,Nastro Azzurro,3-4-3,Svilar,Gosens;Gabbia;Obert,McTominay;Paz N.;Vergara;McKennie,David;Malen;Martinez L.
24,Piovra73,3-4-3,Maignan,Tavares N.;Tiago Gabriel;Cambiaso,Mazzitelli;Orsolini;Vergara;McTominay,Berardi;Kean;Martinez L.
24,LosPollosHermanos,3-4-3,Maignan,Dimarco;Lazaro;Delprato,Zielinski;McTominay;McKennie;Orsolini,Malen;Pinamonti;Raspadori
24,Lions,5-3-2,Di Gregorio,Cambiaso;Gosens;Tiago Gabriel;Kristensen T.;Bellanova,Paz N.;Pasalic;McTominay,Thuram;Douvikas
24,KARABE 1975,3-4-3,Skorupski,Valeri;Zappacosta;Pavlovic,Baturina;Zielinski;Thorstvedt;Gudmundsson A.,Kean;Scamacca;Hojlund
24,pacho team,3-4-3,Milinkovic-Savic V.,Valeri;Ramon;Martin,Atta;McKennie;Paz N.;Baturina,Pellegrino M.;Martinez L.;Yildiz
24,Sciabolata Classica,4-3-3,Svilar,Veiga D.;Tavares N.;Angori;Zè Pedro,Zielinski;McTominay;Vergara,David;Kean;Hojlund
24,CuginiDiCampagna,4-3-3,Carnesecchi,Wesley;Tiago Gabriel;Pongracic;Frese,Strefezza;Zaniolo;Orsolini,Kean;Martinez L.;David
24,SerSi-FC,3-4-3,Sommer,Ostigard;Palestra;Cambiaso,Atta;Malinovskyi;McTominay;Maldini,Scamacca;Hojlund;Gueye
24,buttiglia25,4-3-3,Svilar,Martin;Juan Jesus;Bellanova;Idrissi R.,McTominay;Zaccagni;Harroui,Thuram;Hojlund;Yildiz
24,ROCKY 3,4-3-3,Meret,Wesley;Tomori;Martin;Palestra,Rabiot;Ederson D.S.;Paz N.,Solomon;Martinez L.;Berardi
24,CISCO TEAM,4-4-2,Meret,Bremer;Cambiaso;Tiago Gabriel;Norton-Cuffy,Pellegrini Lo.;Paz N.;Mazzitelli;Maldini,Martinez L.;Berardi
24,Fc nipiri,4-4-2,Meret,Akanji;Di Lorenzo;Solet;Gosens,Paz N.;Orsolini;Thuram K.;Karlstrom,David;Berardi
24,SMOG,3-4-3,Milinkovic-Savic V.,Joao Mario;Martin;Kempf,Zaniolo;Odgaard;Gudmundsson A.;McKennie,Kean;Martinez L.;David
24,Sisal Palace,4-3-3,Svilar,Akanji;Kristensen T.;Cambiaso;Tomori,McKennie;Pulisic;Thuram K.,Hojlund;Scamacca;Thuram
24,i fratelli merda,4-3-3,Carnesecchi,De Winter;Zappa;Tiago Gabriel;Idrissi R.,Bernabè;Iling Junior;Thuram K.,Martinez L.;Yildiz;Solomon
24,FC Buttarighe,3-4-3,De Gea,Dodò;Kalulu;Mina,McTominay;Zielinski;Paz N.;Modric,Esposito F.P.;Malen;Martinez L.
24,lagg,4-3-3,Maignan,Martin;Wesley;Miranda J.;Heggem,Malinovskyi;Paz N.;McKennie,Kean;David;Scamacca
24,DEEDPULLY,3-4-3,Svilar,Tavares N.;Mina;Dimarco,Zaniolo;Orsolini;Maldini;Pulisic,David;Kilicsoy;Raspadori
24,kalashnikov,3-4-3,Ravaglia F.,Cambiaso;Pavlovic;Rrahmani,McTominay;Pulisic;Gudmundsson A.;Zaniolo,Kean;Scamacca;Douvikas
24,real donk,3-4-3,Svilar,Wesley;Pezzella Giu.;Ostigard,Aebischer;Pasalic;Thuram K.;Zaniolo,Pellegrino M.;Kilicsoy;Esposito F.P.
24,Mapoitta,3-4-3,Sommer,Gosens;Zappacosta;Bellanova,Paz N.;McTominay;McKennie;Zaniolo,Leao;Scamacca;Thuram
24,I Cigni,4-3-3,Sommer,Valeri;Valle;Norton-Cuffy;Dodò,Vergara;Isaksen;Baturina,Martinez L.;Zapata D.;Malen
24,Kung-Fu Pandev,3-4-3,Sommer,Bozhinov;Tiago Gabriel;Wesley,Maldini;Zaragoza;McKennie;Conceicao,Kean;Hojlund;Soulè
24,mezzebirre,4-4-2,Maignan,Barbieri;Kempf;Hermoso;Wesley,Odgaard;Pulisic;Diouf;Ndour,Addai;Leao
24,CLAN,3-4-3,Di Gregorio,Tavares N.;Gutierrez;Wesley,Bernardeschi;Zalewski;McTominay;Malinovskyi,Malen;Hojlund;Thuram
24,ProPro Proibito,3-4-3,Sommer,Rrahmani;Bradaric;Tiago Gabriel,Thuram K.;Paz N.;Zaniolo;McTominay,David;Martinez L.;Vardy
24,HeineKean,3-4-3,Svilar,Tiago Gabriel;Cambiaso;Ramon,Gudmundsson A.;McTominay;Conceicao;Vergara,David;Hojlund;Thuram
24,Evergreen,3-4-3,De Gea,Dimarco;Palestra;Ostigard,Harroui;Gudmundsson A.;Zielinski;Zalewski,Zapata D.;Lukaku;David
