nome,R,RM,club,QA,QI,Delta,FVM
Bremer,D,Dc,Juventus,13,13,0,53
Baschirotto,D,Dc,Cremonese,13,8,5,23
Bartesaghi,D,Ds;E,Milan,13,3,10,27
Rrahmani,D,Dc,Napoli,13,11,2,37
Celik,D,B;Dd;E,Roma,13,7,6,14
Scalvini,D,Dc,Atalanta,12,8,4,12
Vojvoda,D,Dd;E,Como,12,6,6,11
Kalulu,D,Dd;Dc,Juventus,12,9,3,40
Di Lorenzo,D,Dd;E,Napoli,12,14,-2,48
Coco,D,Dc,Torino,12,8,4,18
Kabasele,D,Dc,Udinese,12,3,9,13
Ramon,D,Dc,Como,12,4,8,27
Miranda J.,D,Ds;E,Bologna,11,9,2,16
Terracciano F.,D,Dd;Ds;E,Cremonese,11,2,9,16
Maripan,D,Dc,Torino,11,7,4,26
Solet,D,Dc,Udinese,11,11,0,34
Belghali,D,Dd;E,Verona,11,4,7,23
Akanji,D,Dc,Inter,11,9,2,53
Gosens,D,E,Fiorentina,10,18,-8,25
Vasquez,D,Ds;Dc,Genoa,10,9,1,23
Bisseck,D,Dc,Inter,10,9,1,28
Dumfries,D,E,Inter,10,20,-10,25
Kelly L.,D,Ds;Dc,Juventus,10,7,3,16
Cambiaso,D,E,Juventus,10,15,-5,21
Buongiorno,D,Dc,Napoli,10,13,-3,17
Circati,D,Dc,Parma,10,5,5,17
Valeri,D,Ds;E,Parma,10,10,0,23
Hermoso,D,Dc,Roma,10,3,7,16
Mancini,D,Dc,Roma,10,11,-1,36
Luperto,D,Dc,Cagliari,9,7,2,12
Moreno Alb.,D,Ds;E,Como,9,3,6,8
Barbieri,D,Dd;Ds;E,Cremonese,9,3,6,11
Cabal,D,B;Ds;E,Juventus,9,5,4,10
Tiago Gabriel,D,Dc,Lecce,9,1,8,18
Zanoli,D,Dd;E,Udinese,9,3,6,20
Delprato,D,B;Dd;E,Parma,9,8,1,21
Angori,D,Ds;E,Pisa,9,5,4,13
Heggem,D,Ds;Dc,Bologna,9,4,5,20
Kossounou,D,Dd;Dc,Atalanta,8,9,-1,10
Zappacosta,D,E,Atalanta,8,13,-5,20
Mina,D,Dc,Cagliari,8,7,1,14
Idrissi R.,D,Ds;E,Cagliari,8,3,5,10
Zortea,D,E,Bologna,8,16,-8,11
Valle,D,Ds;E,Como,8,6,2,11
Gila,D,Dc,Lazio,8,9,-1,22
Romagnoli,D,Dc,Lazio,8,8,0,21
Gallo,D,Ds;E,Lecce,8,5,3,13
Gabbia,D,Dc,Milan,8,6,2,22
Cuadrado,D,E,Pisa,8,7,1,8
Idzes,D,Dc,Sassuolo,8,7,1,12
Diego Carlos,D,Dc,Como,8,5,3,22
Hien,D,Dc,Atalanta,7,11,-4,22
Lucumì,D,Dc,Bologna,7,8,-1,12
Zappa,D,B;Dd;E,Cagliari,7,6,1,12
Folino,D,Dc,Cremonese,7,4,3,5
Comuzzo,D,Dc,Fiorentina,7,7,0,17
Ranieri L.,D,Ds;Dc,Fiorentina,7,7,0,10
Parisi,D,E,Fiorentina,7,5,2,18
Norton-Cuffy,D,Dd;E,Genoa,7,3,4,17
Marusic,D,Dd;Ds;E,Lazio,7,8,-1,15
Tomori,D,Dc,Milan,7,8,-1,30
Beukema,D,Dc,Napoli,7,10,-3,14
Valenti,D,Dc,Parma,7,4,3,14
N'Dicka,D,Dc,Roma,7,10,-3,28
Angelino,D,E,Roma,7,15,-8,10
Muharemovic,D,Dc,Sassuolo,7,5,2,19
Lazaro,D,Dd;E,Torino,7,7,0,12
Kristensen T.,D,Dd;Dc,Udinese,7,5,2,12
Bernasconi,D,E,Atalanta,7,1,6,20
Britschgi,D,Dd;Ds;E,Parma,7,1,6,12
Bellanova,D,E,Atalanta,6,13,-7,17
Bianchetti,D,Dc,Cremonese,6,3,3,12
Dodò,D,E,Fiorentina,6,11,-5,25
Fortini,D,E,Fiorentina,6,3,3,9
Marcandalli,D,Dc,Genoa,6,3,3,10
Acerbi,D,Dc,Inter,6,9,-3,12
Tavares N.,D,Ds;E,Lazio,6,12,-6,7
Caracciolo A.,D,Dc,Pisa,6,4,2,12
Rensch,D,B;Dd;E,Roma,6,5,1,10
Walukiewicz,D,Dd;Dc,Sassuolo,6,5,1,13
Doig,D,Ds;E,Sassuolo,6,6,0,12
Ismajli,D,Dc,Torino,6,8,-2,10
Bertola,D,Dc,Udinese,6,6,0,12
Kamara H.,D,Ds;E,Udinese,6,7,-1,15
Frese,D,Ds;E,Verona,6,3,3,15
Bradaric,D,Ds;E,Verona,6,4,2,11
Obrador,D,Ds;E,Torino,6,6,0,15
Djimsiti,D,Dc,Atalanta,5,8,-3,15
Kolasinac,D,B;Ds;E,Atalanta,5,7,-2,18
Ahanor,D,B;Ds;E,Atalanta,5,6,-1,10
Obert,D,Ds;Dc,Cagliari,5,4,1,11
Pongracic,D,Dc,Fiorentina,5,5,0,12
Gatti,D,Dc,Juventus,5,8,-3,8
Pellegrini Lu.,D,Ds;E,Lazio,5,3,2,11
Veiga D.,D,Dd;E,Lecce,5,1,4,13
Canestrelli,D,Dc,Pisa,5,3,2,12
Calabresi,D,B;Dd;E,Pisa,5,3,2,7
Pedersen,D,Dd;E,Torino,5,4,1,11
Bella-Kotchap,D,Dc,Verona,5,6,-1,15
Vitik,D,Dc,Bologna,4,8,-4,13
Floriani Mussolini,D,Dd;E,Cremonese,4,5,-1,10
Pezzella Giu.,D,Ds;E,Cremonese,4,5,-1,11
De Winter,D,Dd;Dc,Milan,4,8,-4,11
Lazzari,D,Dd;E,Lazio,4,4,0,8
Gaspar K.,D,Dc,Lecce,4,8,-4,15
Juan Jesus,D,Ds;Dc,Napoli,4,3,1,22
Ghilardi,D,Dc,Roma,4,4,0,8
Slotsager,D,Dc,Verona,4,2,2,7
Nelsson,D,Dc,Verona,4,5,-1,17
Ziolkowski,D,Dc,Roma,4,3,1,12
Tsimikas,D,Ds;E,Roma,4,4,0,9
Helland,D,Dd;Dc,Bologna,4,4,0,9
Lirola,D,B;Dd;E,Verona,4,4,0,11
Zatterstrom,D,Dc,Genoa,4,4,0,10
Smolcic I.,D,Dd;Dc,Como,3,2,1,12
Van Der Brempt,D,Dd;E,Como,3,4,-1,8
Otoa,D,Dc,Genoa,3,2,1,9
De Vrij,D,Dc,Inter,3,9,-6,7
Provstgaard,D,Dc,Lazio,3,3,0,7
Ndaba,D,Ds;E,Lecce,3,1,2,8
Estupinan,D,Ds;E,Milan,3,11,-8,11
Olivera,D,Ds;E,Napoli,3,10,-7,9
Mazzocchi,D,Dd;Ds;E,Napoli,3,3,0,3
Biraghi,D,Ds;E,Torino,3,8,-5,5
Ehizibue,D,Dd;E,Udinese,3,5,-2,8
Valentini N.,D,Dc,Verona,3,4,-1,10
Athekame,D,Dd;E,Milan,3,6,-3,8
Gutierrez,D,Ds;E,Napoli,3,8,-5,10
Rodriguez Ju.,D,Ds;Dc,Cagliari,3,1,2,12
Albiol,D,Dc,Pisa,3,5,-2,9
Bonfanti,D,Dc,Pisa,2,2,0,8
Casale,D,Dc,Bologna,2,4,-2,7
De Silvestri,D,Dd;E,Bologna,2,4,-2,8
Lykogiannis,D,Ds;E,Bologna,2,5,-3,10
Di Pardo,D,Dd;E,Cagliari,2,2,0,4
Ceccherini,D,Dd;Dc,Cremonese,2,4,-2,8
Sabelli,D,Dd;Ds;E,Genoa,2,5,-3,10
Rugani,D,Dc,Juventus,2,3,-1,8
Joao Mario,D,E,Juventus,2,8,-6,5
Marianucci,D,Dc,Napoli,2,3,-1,8
Coppola F.,D,Dc,Pisa,2,1,1,4
Mateus Lusuardi,D,Dc,Pisa,2,4,-2,5
Masina,D,B;Ds;E,Torino,2,3,-1,8
Zemura,D,Ds;E,Udinese,2,3,-1,8
Ebosse,D,Ds;Dc,Verona,2,4,-2,7
Goglichidze,D,Dd;Dc,Udinese,2,4,-2,7
Candè,D,Ds;Dc,Sassuolo,2,6,-4,5
Cham,D,Dd;Ds;E,Verona,2,1,1,6
Troilo,D,Dc,Parma,2,6,-4,8
Siebert,D,Dc,Lecce,2,5,-3,6
Nkounkou,D,Ds;E,Torino,2,3,-1,8
Faye,D,Dc,Cremonese,2,4,-2,5
Zè Pedro,D,Dc,Cagliari,2,4,-2,10
Bozhinov,D,Dc,Pisa,2,2,0,5
Dossena,D,Dc,Cagliari,1,4,-3,5
Goldaniga,D,Dc,Como,1,4,-3,6
Darmian,D,B;Dd;E,Inter,1,4,-3,7
Rouhi,D,Ds;E,Juventus,1,1,0,4
Gigot,D,Dc,Lazio,1,4,-3,3
Patric,D,Dd;Dc,Lazio,1,4,-3,5
Hysaj,D,Dd;Ds;E,Lazio,1,3,-2,4
Jean,D,Dc,Lecce,1,3,-2,3
Perez M.,D,Dd;Dc,Lecce,1,1,0,2
Kouassi,D,Dd;Dc,Lecce,1,4,-3,4
Odenthal,D,Dc,Sassuolo,1,3,-2,7
Romagna,D,Dc,Sassuolo,1,4,-3,8
Paz Y.,D,Dd;E,Sassuolo,1,1,0,3
Pieragnolo,D,Ds;E,Sassuolo,1,2,-1,3
Schuurs,D,Dc,Torino,1,3,-2,5
Dembelè A.,D,Dd;E,Torino,1,1,0,2
Rui Modesto,D,E,Udinese,1,3,-2,7
Oyegoke,D,B;Dd;E,Verona,1,2,-1,4
Denoon,D,Dc,Pisa,1,2,-1,4
Ndiaye,D,Dc,Parma,1,4,-3,8
Kouadio,D,Dc,Fiorentina,1,1,0,1
Lamptey,D,Dd;Ds;E,Fiorentina,1,4,-3,5
Odogu,D,Dc,Milan,1,2,-1,5
Coulibaly W.,D,Dd;Ds;E,Sassuolo,1,3,-2,4
Palacios T.,D,Dc,Inter,1,1,0,1
Arizala,D,Ds;E,Udinese,1,1,0,1
Pulisic,C,T;A,Milan,31,28,3,272
Paz N.,C,T;A,Como,30,20,10,275
Calhanoglu,C,M;C,Inter,28,23,5,230
McTominay,C,C;T,Napoli,25,26,-1,213
Orsolini,C,W;A,Bologna,24,30,-6,226
Rabiot,C,C;T,Milan,23,23,0,102
De Bruyne,C,T,Napoli,20,23,-3,90
Zaniolo,C,T;A,Udinese,20,11,9,80
Mandragora,C,M;C,Fiorentina,19,14,5,85
Zielinski,C,C;T,Inter,19,4,15,33
Saelemaekers,C,E;W,Milan,19,12,7,94
Modric,C,C,Milan,19,12,7,73
Zambo Anguissa,C,M;C,Napoli,19,15,4,71
Odgaard,C,T;A,Bologna,18,16,2,34
Vlasic,C,T,Torino,18,15,3,85
Gudmundsson A.,C,T;A,Fiorentina,17,24,-7,75
Barella,C,C,Inter,17,14,3,70
Neres,C,W;A,Napoli,17,13,4,64
Konè M.,C,M;C,Roma,17,14,3,54
Perrone,C,M;C,Como,16,8,8,40
Bernabè,C,C,Parma,16,11,5,34
Konè I.,C,M;C,Sassuolo,16,6,10,29
Atta,C,C,Udinese,16,6,10,42
Thorsby,C,C;T,Genoa,15,5,10,13
Zalewski,C,E;W,Atalanta,15,6,9,20
Conceicao,C,W;A,Juventus,15,18,-3,39
Gaetano,C,T,Cagliari,14,8,6,19
Baturina,C,T,Como,14,9,5,26
Vazquez,C,T;A,Cremonese,14,10,4,14
McKennie,C,M;C,Juventus,14,10,4,32
Basic,C,C,Lazio,14,1,13,24
Isaksen,C,W;A,Lazio,14,14,0,32
Zaccagni,C,W;A,Lazio,14,26,-12,92
Pellegrini Lo.,C,C;T,Roma,14,11,3,25
Pasalic,C,C;T,Atalanta,13,9,4,23
Vandeputte,C,W;T,Cremonese,13,12,1,27
Locatelli,C,M;C,Juventus,13,12,1,41
Thuram K.,C,M;C,Juventus,13,16,-3,43
Coulibaly L.,C,M;C,Lecce,13,7,6,21
Berisha M.,C,C;T,Lecce,13,3,10,25
Ricci S.,C,M;C,Milan,13,10,3,13
Loftus-Cheek,C,C;T,Milan,13,8,5,16
Volpato,C,W;T,Sassuolo,13,5,8,16
Taylor K.,C,C;T,Lazio,13,14,-1,36
Felici,C,W,Cagliari,12,6,6,10
Malinovskyi,C,C;T,Genoa,12,8,4,37
Cataldi,C,M;C,Lazio,12,5,7,24
Leris,C,W,Pisa,12,2,10,10
Cristante,C,M;C,Roma,12,9,3,28
Thorstvedt,C,C;T,Sassuolo,12,8,4,28
Ekkelenkamp,C,C;T,Udinese,12,10,2,19
Serdar,C,C,Verona,12,5,7,16
Samardzic,C,T,Atalanta,11,12,-1,13
Pobega,C,M;C,Bologna,11,8,3,15
Da Cunha,C,C;W;T,Como,11,12,-1,18
Ellertsson,C,C;W,Genoa,11,5,6,12
Sucic P.,C,C,Inter,11,9,2,18
Kostic,C,E;W,Juventus,11,4,7,15
Politano,C,W,Napoli,11,15,-4,23
Sottil,C,W;A,Lecce,11,11,0,19
Ederson D.S.,C,M;C,Atalanta,10,15,-5,31
Caqueret,C,C;T,Como,10,12,-2,13
Fofana Y.,C,M;C,Milan,10,11,-1,27
Lobotka,C,M;C,Napoli,10,9,1,25
Tourè I.,C,E;M,Pisa,10,6,4,25
Fadera,C,W,Sassuolo,10,6,4,14
Karlstrom,C,M;C,Udinese,10,6,4,18
Mazzitelli,C,M;C,Cagliari,10,5,5,17
Matic,C,M;C,Sassuolo,10,4,6,18
Harrison,C,W,Fiorentina,10,10,0,23
Frendrup,C,M;C,Genoa,9,9,0,20
Miretti,C,C;T,Juventus,9,5,4,28
Tramoni M.,C,W;T,Pisa,9,12,-3,25
Bernede,C,C,Verona,9,4,5,15
Zhegrova,C,W,Juventus,9,19,-10,15
De Roon,C,M;C,Atalanta,8,12,-4,26
Moro N.,C,M;C,Bologna,8,3,5,11
Fabbian,C,C;T,Fiorentina,8,10,-2,16
Folorunsho,C,C;T,Cagliari,8,9,-1,16
Fagioli,C,C,Fiorentina,8,8,0,28
Keita M.,C,M;C,Parma,8,6,2,14
El Shaarawy,C,W,Roma,8,8,0,12
Payero,C,C,Cremonese,8,4,4,8
Piotrowski,C,C,Udinese,8,6,2,14
Gagliardini,C,M;C,Verona,8,2,6,6
Brescianini,C,C;T,Fiorentina,7,8,-1,21
Mkhitaryan,C,C;T,Inter,7,9,-2,15
Bondo,C,M;C,Cremonese,7,3,4,16
Akinsanmiro,C,C;T,Pisa,7,3,4,12
Casadei,C,C;T,Torino,7,12,-5,23
Sorensen O.,C,C,Parma,7,6,1,11
Rowe,C,W;T,Bologna,7,14,-7,21
Loyola,C,M;C,Pisa,7,7,0,18
Adopo,C,M;C,Cagliari,6,5,1,14
Deiola,C,M;C,Cagliari,6,5,1,14
Prati,C,M;C,Cagliari,6,3,3,11
Ndour,C,M;C,Fiorentina,6,2,4,14
Luis Henrique,C,E;W,Inter,6,7,-1,15
Vecino,C,M;C,Lazio,6,6,0,13
Pierotti,C,W;A,Lecce,6,10,-4,14
Zerbin,C,E;W,Cremonese,6,3,3,10
Gilmour,C,M;C,Napoli,6,7,-1,14
Pisilli,C,C,Roma,6,7,-1,16
Baldanzi,C,T;A,Genoa,6,8,-2,32
Lorran,C,T,Pisa,6,7,-1,13
Elmas,C,W;T,Napoli,6,11,-5,22
Gandelman,C,C;T,Lecce,6,6,0,13
Freuler,C,M;C,Bologna,5,11,-6,16
Aebischer,C,C,Pisa,5,4,1,12
Ferguson,C,C;T,Bologna,5,11,-6,16
Bernardeschi,C,W;A,Bologna,5,9,-4,15
Grassi,C,M;C,Cremonese,5,4,1,8
Masini,C,M;C,Genoa,5,5,0,10
Koopmeiners,C,C;T,Juventus,5,14,-9,15
Ramadani,C,M;C,Lecce,5,6,-1,13
Musah,C,C;W,Atalanta,5,6,-1,11
Estevez,C,M;C,Parma,5,2,3,10
Ondrejka,C,W;A,Parma,5,13,-8,18
Piccinini G.,C,E;M,Pisa,5,6,-1,12
Marin M.,C,M;C,Pisa,5,6,-1,11
El Aynaoui,C,M;C,Roma,5,9,-4,13
Iannoni,C,C,Sassuolo,5,1,4,8
Tameze,C,M;C,Torino,5,5,0,9
Frattesi,C,C;T,Inter,4,14,-10,10
Rovella,C,M;C,Lazio,4,8,-4,12
Maleh,C,M;C,Lecce,4,6,-2,6
Sohm,C,C,Bologna,4,12,-8,9
Gineitis,C,C,Torino,4,5,-1,11
Niasse,C,M;C,Verona,4,3,1,10
Jashari,C,C,Milan,4,13,-9,12
Oristanio,C,W;T;A,Parma,4,12,-8,12
Maldini,C,T;A,Atalanta,3,9,-6,11
Sergi Roberto,C,M;C,Como,3,4,-1,10
Fazzini,C,C;T,Fiorentina,3,11,-8,8
Asllani,C,M;C,Torino,3,4,-1,14
Belahyane,C,M;C,Lazio,3,4,-1,7
Dele-Bashiru,C,C;T,Lazio,3,11,-8,11
Kaba,C,M;C,Lecce,3,1,2,12
Tete Morente,C,W,Lecce,3,9,-6,12
Lipani,C,M;C,Sassuolo,3,4,-1,8
Ilic,C,C,Torino,3,7,-4,8
Anjorin,C,C;T,Torino,3,10,-7,10
Lovric,C,C,Udinese,3,9,-6,8
Miller L.,C,M;C,Udinese,3,3,0,10
Adzic,C,C;T,Juventus,3,1,2,1
Vranckx,C,M;C,Sassuolo,3,4,-1,10
Al-Musrati,C,M;C,Verona,3,4,-1,7
Nicolussi Caviglia,C,M;C,Fiorentina,3,9,-6,10
Collocolo,C,M;C,Cremonese,2,8,-6,13
Sabiri,C,T,Fiorentina,2,2,0,4
Messias,C,C;W,Genoa,2,8,-6,10
Gronbaek,C,W;T,Genoa,2,12,-10,4
Helgason,C,C;T,Lecce,2,8,-6,7
Ordonez C.,C,M;C,Parma,2,5,-3,10
Hojholt,C,M;C,Pisa,2,1,1,2
Vural,C,C,Pisa,2,3,-1,6
Boloca,C,M;C,Sassuolo,2,6,-4,4
Zarraga,C,M;C,Udinese,2,2,0,6
Harroui,C,W;T,Verona,2,7,-5,11
Ilkhan,C,C;T,Torino,2,1,1,10
Vergara,C,W;T,Napoli,2,1,1,5
Fini,C,E;W,Genoa,2,1,1,1
Diouf,C,C,Inter,2,7,-5,10
Gorter,C,M;C,Lecce,2,1,1,1
Onana J.,C,M;C,Genoa,2,2,0,4
Akpa Akpro,C,M;C,Verona,2,1,1,6
Sulemana I.,C,M;C,Cagliari,1,4,-3,10
Liteta,C,M;C,Cagliari,1,1,0,6
Venturino,C,W,Roma,1,3,-2,10
Pierret,C,M;C,Lecce,1,6,-5,9
Marchwinski,C,T,Lecce,1,1,0,2
Kastanos,C,C;T,Verona,1,4,-3,8
Suslov,C,W;T,Verona,1,9,-8,14
Cuenca H.,C,W;T,Genoa,1,1,0,1
Sala A.,C,C,Lecce,1,3,-2,9
Stengs,C,W;T,Pisa,1,11,-10,13
Cornet,C,W,Genoa,1,7,-6,5
Cremaschi,C,C,Parma,1,5,-4,8
Fofana Sa.,C,M;C,Lecce,1,1,0,2
Ngom,C,M;C,Lecce,1,1,0,1
Martinez L.,A,Pc,Inter,34,34,0,360
Yildiz,A,A,Juventus,30,24,6,213
Leao,A,A,Milan,30,24,6,199
Thuram,A,Pc,Inter,29,29,0,238
Soulè,A,A,Roma,26,20,6,196
Hojlund,A,Pc,Napoli,25,24,1,211
Castro S.,A,Pc,Bologna,24,19,5,68
Davis K.,A,Pc,Udinese,24,12,12,73
Scamacca,A,Pc,Atalanta,22,19,3,98
Douvikas,A,Pc,Como,21,8,13,42
Pellegrino M.,A,Pc,Parma,21,13,8,84
Berardi,A,A,Sassuolo,21,21,0,85
Bonazzoli,A,A,Cremonese,20,1,19,25
Krstovic,A,Pc,Atalanta,20,20,0,31
Orban G.,A,Pc,Verona,20,15,5,35
Vardy,A,Pc,Cremonese,20,15,5,58
Simeone,A,Pc,Torino,19,8,11,73
Laurientè,A,A,Sassuolo,19,15,4,39
Kean,A,Pc,Fiorentina,18,33,-15,159
Esposito F.P.,A,Pc,Inter,18,7,11,30
De Ketelaere,A,A,Atalanta,17,22,-5,77
Cambiaghi,A,A,Bologna,17,11,6,31
Adams C.,A,A,Torino,17,14,3,36
Giovane,A,A,Napoli,17,1,16,30
Nkunku,A,A,Milan,17,20,-3,28
Esposito Se.,A,A,Cagliari,16,7,9,50
Ferguson E.,A,Pc,Roma,16,19,-3,32
Durosinmi,A,Pc,Pisa,16,15,1,51
Vlahovic,A,Pc,Juventus,15,24,-9,55
Raspadori,A,A,Atalanta,15,13,2,58
Lukaku,A,Pc,Napoli,15,31,-16,60
Moreo,A,A,Pisa,15,5,10,14
Dovbyk,A,Pc,Roma,15,21,-6,12
Malen,A,A,Roma,15,14,1,67
Lookman,A,A,Atalanta,14,29,-15,80
Colombo,A,Pc,Genoa,14,12,2,45
Bonny,A,Pc,Inter,14,5,9,23
Cancellieri,A,W;A,Lazio,14,3,11,23
Pinamonti,A,Pc,Sassuolo,14,16,-2,62
Fullkrug,A,Pc,Milan,14,13,1,30
Ratkov,A,Pc,Lazio,14,15,-1,57
Borrelli,A,Pc,Cagliari,13,5,8,14
David,A,Pc,Juventus,13,27,-14,42
Dybala,A,A,Roma,13,26,-13,70
Addai,A,W;A,Como,12,7,5,16
Rodriguez Je.,A,W;A,Como,12,5,7,27
Gimenez,A,Pc,Milan,12,25,-13,15
Kilicsoy,A,A,Cagliari,12,6,6,21
Nzola,A,Pc,Pisa,12,12,0,12
Sulemana K.,A,A,Atalanta,11,9,2,11
Vitinha O.,A,Pc,Genoa,11,12,-1,27
Noslin,A,A,Lazio,11,7,4,13
Banda,A,W;A,Lecce,11,5,6,12
Ekhator,A,A,Genoa,10,1,9,11
N'Dri,A,W;A,Lecce,10,5,5,10
Openda,A,Pc,Juventus,10,22,-12,20
Vaz,A,Pc,Roma,10,10,0,23
Piccoli,A,Pc,Fiorentina,9,17,-8,16
Ekuban,A,A,Genoa,9,2,7,11
Ngonge,A,A,Torino,9,9,0,11
Buksa,A,Pc,Udinese,9,9,0,12
Dallinga,A,Pc,Bologna,8,10,-2,12
Benedyczak,A,A,Parma,8,1,7,10
Meister,A,Pc,Pisa,8,2,6,14
Mosquera,A,Pc,Verona,8,6,2,10
Stulic,A,Pc,Lecce,8,13,-5,22
Belotti,A,Pc,Cagliari,8,12,-4,30
Pedro,A,A,Lazio,7,13,-6,16
Zapata D.,A,Pc,Torino,7,20,-13,14
Solomon,A,W;A,Fiorentina,7,7,0,15
Cutrone,A,Pc,Parma,6,10,-4,14
Johnsen,A,A,Cremonese,6,7,-1,8
Njie,A,A,Torino,6,1,5,4
Sanabria,A,Pc,Cremonese,6,7,-1,10
Cheddira,A,Pc,Lecce,6,4,2,8
Immobile,A,Pc,Bologna,5,19,-14,16
Dia,A,Pc,Lazio,5,20,-15,12
Sarr A.,A,A,Verona,5,8,-3,9
Dominguez B.,A,W;A,Bologna,4,9,-5,12
Luvumbo,A,A,Cagliari,4,12,-8,10
Diao,A,W;A,Como,4,17,-13,17
Kuhn,A,W;A,Como,4,14,-10,11
Camarda,A,Pc,Lecce,4,12,-8,12
Morata,A,Pc,Como,4,18,-14,12
Almqvist,A,W;A,Parma,3,4,-1,10
Bayo V.,A,Pc,Udinese,3,4,-1,8
Aboukhlal,A,A,Torino,3,9,-6,9
Djuric,A,Pc,Parma,2,9,-7,7
Pierini,A,A,Sassuolo,2,5,-3,8
Ambrosino,A,Pc,Napoli,2,1,1,1
Moumbagna,A,Pc,Cremonese,2,6,-4,9
Gueye,A,Pc,Udinese,2,1,1,1
Pavoletti,A,Pc,Cagliari,1,1,0,3
Okereke,A,A,Cremonese,1,5,-4,3
Milik,A,Pc,Juventus,1,1,0,5
Buffon L.,A,A,Pisa,1,1,0,1
Moro L.,A,Pc,Sassuolo,1,1,0,1
Skjellerup,A,Pc,Sassuolo,1,1,0,1
Frigan,A,Pc,Parma,1,7,-6,7
Kouamè,A,A,Fiorentina,1,1,0,1
Balentien,A,A,Milan,1,1,0,1
Arena A.,A,Pc,Roma,1,1,0,1
Isaac,A,Pc,Verona,1,1,0,1
Trepy,A,Pc,Cagliari,1,1,0,1
